Term,Variable,Description,Category1|Category2|...
"gmx chi histogramming","gmx chi histogramming","A fix for a possible crash caused by an invalid reference to a temporary string","software"
"gmx chi -chi_prod","gmx chi -chi_prod","A fix for a crash or garbage results when the number of relevant dihedrals differed from the number of residues","software"
"md-vv integrator","md-vv","An integrator for which issues with global reduction in the modular simulator were fixed","algorithm|integrator"
"pullf.xvg","pullf.xvg","A pull code output file that is now correctly written during a rerun","data format"
"pullx.xvg","pullx.xvg","A pull code output file that is now correctly written during a rerun","data format"
"gmx solvate","gmx solvate","A tool for which file permissions of temporary files were fixed","software"
"gmx genion","gmx genion","A tool for which file permissions of temporary files were fixed","software"
"GROMOS force fields","GROMOS force fields","A fix for an incorrect bond type for C and +N in the ACE capping group","model|data source"
"awh-potential = convolved","awh-potential = convolved","A combination of AWH with a pull dimension that was disabled in grompp due to incorrectness","identifier"
"gmx covar","gmx covar","An analysis tool for which a range checking bug was fixed","software"
"gmx xpm2ps","gmx xpm2ps","A tool for which numerous minor bugs introduced since GROMACS 5.1 were fixed","software"
"Cygwin","Cygwin","A POSIX-like environment for Windows, for which a compilation issue was fixed","software"
"AWH FEP dimension","AWH FEP dimension","A bug in grompp checks of AWH settings when sampling a free-energy dimension was fixed","method"
"Stochastic cell rescaling barostat","Stochastic cell rescaling barostat","A first-order stochastic barostat that has been implemented for equilibration and production","method|algorithm"
"density-guided-simulation-shift-vector","density-guided-simulation-shift-vector","A new mdp option that defines a shift vector for the density-guided simulation group","identifier"
"density-guided-simulation-transformation-matrix","density-guided-simulation-transformation-matrix","A new mdp option that allows defining a matrix to transform structure coordinates","identifier"
"FEP using AWH","FEP using AWH","A new feature that allows controlling the lambda state of a free energy perturbation with AWH","method"
"gmxapi.mdrun().output.directory","gmxapi.mdrun().output.directory","A new output attribute from gmxapi.mdrun that provides the path to the simulation working directory","software"
"gmxapi.mdrun stdout/stderr","gmxapi.mdrun now captures STDOUT and STDERR","New output attributes from gmxapi.mdrun that capture the standard output and error streams of the simulation","software"
"mdrun -update auto","mdrun -update auto","An option that now defaults to GPU update if supported, giving a significant performance improvement","identifier"
"PME decomposition","PME decomposition","A feature to offload PME calculations to multiple GPUs, now with support for CUDA and SYCL backends","method|algorithm"
"GMX_GPU_PME_DECOMPOSITION","GMX_GPU_PME_DECOMPOSITION","An environment variable to enable the experimental GPU-based PME decomposition feature","identifier"
"CUDA Graphs for GPU-resident Steps","CUDA Graphs for GPU-resident Steps","A new CUDA feature to launch GPU activities as a single graph, offering performance advantages","method|software"
"GMX_CUDA_GRAPH","GMX_CUDA_GRAPH","An environment variable to optionally activate the CUDA Graphs feature","identifier"
"VkFFT support","VkFFT support","Integration of the VkFFT library to provide performance improvements for GPU FFTs, especially on AMD GPUs","software"
"gmx do_dssp","gmx do_dssp","A tool that has been replaced by a native implementation of the DSSP algorithm in gmx dssp","software"
"gmx h2order -d","gmx h2order -d","A non-functioning option that was fixed","software"
"gmx dyndom","gmx dyndom","A tool for analyzing DynDom outputs, which was removed","software"
"gmx morph","gmx morph","A tool for interpolating between conformations, which was removed","software"
"gmx mdrun -gcom","gmx mdrun -gcom","A feature for less frequent communication between PP ranks, which was removed","software"
"Hygon Dhyana CPU","Hygon Dhyana CPU","A CPU architecture for which hardware detection and heuristics have been added","software"
"GMX_VERSION_STRING_OF_FORK","GMX_VERSION_STRING_OF_FORK","A CMake variable to identify forked versions of GROMACS","identifier"
"CODATA 2018","CODATA 2018","A set of fundamental physical constants to which GROMACS has been updated","data source"
"gmx disre","gmx disre","A tool for which a check for inconsistent distance restraint labels was added","software"
"PDB CONECT record","PDB CONECT record","A record in PDB files for which duplicate output was fixed","data format"
"gmx anadock","gmx anadock","A tool for analyzing AutoDock outputs, which was removed","software"
"gmxapi.commandline_operation runtime arguments","gmxapi.mdrun accepts arbitrary runtime arguments","A feature to pass arbitrary command-line arguments to command-line operations via gmxapi","software"
"gmxapi MPI awareness","Improved MPI awareness and task uniqueness for gmxapi Python runner","Changes to make gmxapi operations aware of the MPI environment and execute in unique directories","software"
"Berendsen coupling algorithms","Berendsen coupling algorithms","Thermostat and barostat methods whose use is now further discouraged by changing notes to warnings in grompp","method|algorithm"
"gmx xpm2ps","gmx xpm2ps","A tool for which a bug was fixed when no library file was provided","software"
"demux.pl","demux.pl","A script for post-processing replica exchange trajectories, for which a discontinuity issue was fixed","software"
"gmx disre","gmx disre","A tool that was made to work with non-consecutively labeled restraints","software"
"gmx make_ndx chain IDs","Made gmx make_ndx keep chain IDs","A fix to prevent chain IDs from being overwritten with default values","software"
"PME OpenCL on Apple","Disable PME OpenCL on Apple","A fix to disable OpenCL PME on Apple platforms due to compiler failures","software"
"AMD Zen 2 detection","Added AMD Zen 2 detection","A feature to detect this CPU architecture and use tuned non-bonded kernels","software"
"pull-geometry 'direction'","pull-geometry 'direction'","A fix to allow this pull coordinate geometry to be periodic with AWH","identifier"
"PQR formatting","Fix PQR formatting","A fix for incorrect formatting in tools that use PQR files","data format"
"gmx wham with angle geometries","Fix gmx wham with angle geometries","A fix for incorrect unit conversion in gmx wham","software"
"L-BGFS minimizer","L-BGFS minimizer","A minimization algorithm that could fail on a number of systems, which was fixed","algorithm"
"pull geometry direction-periodic","pull geometry direction-periodic","A pull geometry that was disallowed with AWH due to potential incorrect behavior","identifier"
"mdrun -nsteps option","Fixed mdrun -nsteps option","A fix for the deprecated -nsteps option to allow extension of simulations","identifier"
"gmx cluster -clndx","gmx cluster -clndx","An option for which the reported trajectory frame indices were corrected","software"
"gmx editconf -f in.pdb -o out.pdb","gmx editconf -f in.pdb -o out.pdb","A command that now correctly preserves chain IDs","software"
"AVX 512 detection code","Fix error in AVX 512 detection code","A fix for a typo in the CMake detection code for AVX-512","software"
"GROMOS force fields warning","Added warning with the use of GROMOS force fields","A new warning in grompp regarding the use of GROMOS force fields with single-range cut-offs","software"
"FFTW with clang and AVX-512","Prevented internal build of FFTW with clang and AVX-512 SIMD","A fix to prevent the internal FFTW build from attempting an unsupported compilation","software"
"2D/3D dynamic load balancing","Fix error with 2D/3D dynamic load balancing","A fix for an error in dynamic load balancing with a limited cell size","software"
"LJ repulsion force switching on GPUs","Fix incorrect LJ repulsion force switching on GPUs","A fix for an incorrect sign in the LJ repulsion force switching coefficient on GPUs","software"
"Delta H output with mass lambda's","Correct free-energy Delta H output with mass lambda's","A fix for double counting of perturbed mass contributions in Delta H output for BAR","measure"
"trjconv -ndec","Fix trjconv -ndec","A fix to make the option work correctly with .gro files","software"
"tune_pme","Fix tune_pme","A fix for a file reading error in the tool","software"
"clFFT fallback","disabled internal cIFFT fallback used for OpenCL support","A fix to issue a fatal error when the bundled clFFT cannot be built with MSVC","software"
"gmx cluster","gmx cluster","A tool for which PDB and index file output was corrected and improved","software"
"pull-pbc-ref-from-prev-step-com","pull-pbc-ref-from-prev-step-com","An added option to use the COM of the previous step as a PBC reference in pulling","identifier"
"Restraint module for gmxapi","Restraint module for gmxapi MD extension code","New functionality for registering externally compiled MD extensions at runtime","software"
"pull-fout-average","pull-fout-average","A new option to enable output of average pull forces","identifier"
"pull-xout-average","pull-xout-average","A new option to enable output of average pull positions","identifier"
"update groups","Implemented update groups","A performance improvement based on grouping atoms with update dependencies","method|algorithm"
"PME on GPU with charge-free FEP","PME on GPU when running free energy perturbations not involving charges","A new feature allowing PME to run on the GPU for certain free energy calculations","method"
"PME long-ranged interaction GPU offload","PME long-ranged interaction GPU offload now available with OpenCL","A feature to offload PME calculations to the GPU using OpenCL on all supported vendors","method|software"
"Intel integrated GPUs","Intel integrated GPUs are now supported for GPU offload with OpenCL","A feature to offload nonbonded tasks to integrated Intel GPUs","software"
"Bonded interactions on CUDA GPU","Bonded interactions are now supported for CUDA GPU offload","A feature to run common bonded and LJ-14 interactions on NVIDIA GPUs with CUDA","method|software"
"NVIDIA Turing GPUs","Added code generation support for NVIDIA Turing GPUs","A feature to directly target the Turing architecture with the nvcc compiler","software"
"nmeig","nmeig does thermochemistry","A tool that now generates thermochemical properties from a Hessian matrix","software"
"report-methods","Implement writing of LaTeX methods in report-methods","A new tool to generate a summary of simulation methods","software"
"trilinic DD code","Fix type bug in trilinic DD code","A bug fix for an issue with off-diagonal elements in domain decomposition","software"
"Velocity Verlet integrators","Velocity Verlet integrators output energy averages from correct steps","A fix for how energy averages were accumulated for this integrator type","algorithm|integrator"
"gmx h2order -d option","Fix non-funtioning gmx h2order -d option","A fix for an option that would always take the normal along the z-axis","software"
"pull group index handling","Fix pull group index handling","A fix for incorrect validation of pull group indices in grompp","software"
"OSX build","Fix building on OSX","A fix for a missing include that prevented compilation on macOS","software"
"GPU version of LINCS","Bug fix for the GPU version of LINCS in multiple domain case","A fix for a memory re-allocation issue in the GPU LINCS implementation","software"
"N-body virtual sites with DD","Fix index handling of N-body virtual sites with domain decomposition","A fix for incorrect indexing of N-body virtual sites in the domain decomposition code","software"
"LJ-PME and dispersion correction","Fix assertion failure with LJ-PME and dispersion correction","A fix for an assertion failure during PME tuning with this combination","software"
"FEP with modular simulator and DD","Bug fix for FEP calculations with modular simulator and domain decomposition","A fix for incorrect mass handling in FEP calculations with this setup","software"
"RDRAND on Ryzen","Added workaround for RDRAND not always returning random numbers on Ryzen","A workaround for a hardware bug in the random number generator on some AMD CPUs","software"
"gmx trjcat -demux","Fix default output with gmx trjcat -demux","A fix to ensure files are written when using the default file name output","software"
"CUDA 11.0","CUDA 11.0 supported","A fix to enable building and testing with CUDA 11.0","software"
"MSVC build","Fix building with MSVC","A fix for a missing header that caused build failure with MSVC","software"
"RDTSCP on x86","Only check for RDTSCP on x86 platforms","A change to only check for this instruction on relevant platforms","software"
"grompp with frozen system","Fix crash of grompp when the whole system is frozen","A fix for a segmentation fault when the entire system was frozen","software"
"molecule indexing","Fixes the unexpected change in molecule indexing in output after simulation","A fix to ensure repeat molecules are numbered consecutively","software"
"libgromacs CMake target","Fix INTERFACE_INCLUDE_DIRECTORIES for libgromacs CMake target","A fix for a malformed CMake target referencing non-existent directories","software"
"gmx lie","Fix incorrect reading of certain older tpr files","A fix for incorrect reading of some older tpr files, which could lead to memory allocation errors","software"
"gmx lie","Fix segmentation fault with gmx lie","A fix for a crash due to mismatching energy term sizes","software"
"gmx xpm2ps","Fix matrix reading in gmx xpm2ps","A fix for a failure to read a matrix if no second matrix was provided","software"
"gmx hbond","Fix uninitialized variable warnings in gmx hbond","A fix to prevent garbage output due to uninitialized memory","software"
"gmx do_dssp","Actually fix gmx do_dssp","A follow-up fix for the tool which was still broken","software"
"GMX_DSSP_PROGRAM_PATH","GMX_DSSP_PROGRAM_PATH","A new way to configure the default path for the dssp executable","identifier"
"gmx genrestr","Avoid segmentation fault in gmx genrestr","A fix for a memory access error in the tool","software"
"MSVC SIMD flags","Update MSVC SIMD flags","Newly supported SIMD flags that may improve performance on Windows","software"
"tinyxml2 linking","Fix error with tinyxml2 linking","A fix for an incorrect signature for linking this external library","software"
"non-dynamical integrator","Updated message on using GPU with non-dynamical integrator","A clearer message explaining why GPU PME/bonded forces are not supported with non-dynamical integrators","software"
"Ewald dipole correction","Ewald dipole correction incorrect without domain decomposition","A fix to disable this correction when not using domain decomposition, as it was incorrect","method"
"Expanded ensemble restarts","Expanded ensemble simulations restarted from checkpoints","A fix for a bug where restarted expanded ensemble simulations would not run","software"
"LJ PME free energy","Fixed free energy calculations with LJ PME","A fix for wrong long-range corrections with vdwtype=pme in free energy calculations","method"
"-update gpu","The velocities of the center of mass are now removed correctly in case of -update gpu","A fix for incorrect COM velocity removal when using GPU update","software"
"checkpoint restart","Fix checkpoint restart with non-zero initial step","A fix for ignoring the init-step mdp parameter on restart","software"
"gmx tool -tu","Time output unit fixes","A fix to produce the correct time unit string in xvg files for microseconds or larger","software"
"gmx do_dssp","Fix do_dssp","A fix for a segmentation fault in the tool","software"
"IBM_VSX support","Give clearer message about not detecting IBM_VSX support in gcc > 9","A fix to provide a more informative error message from CMake","software"
"initial DLB state","Fixed initial DLB state reporting","A fix for incorrect reporting of the initial dynamic load balancing state in the log file","software"
"mdrun -multidir","Fix fatal error with mdrun -multidir with more than 1 rank per simulation","A fix for a fatal error with this option","software"
"mdrun with multiple ranks and separate PME ranks","Fix deadlock in mdrun runs with multiple ranks and separate PME ranks","A fix for a deadlock that could occur before PP-PME balancing","software"
"mdrun with shells and GPU update","Avoid mdrun assertion failure when running with shells and update on a GPU","A fix to make mdrun fall back to CPU or error out when attempting this unsupported combination","software"
"mdrun MPI rank count","Allow large prime factors in the mdrun MPI rank count","A fix to allow domain decomposition to run with large prime factors in the MPI rank count","software"
"PME forces with FE","Actually fix PME forces with FE without perturbed q/LJ","A fix for incorrectly ignoring PME mesh forces on non-perturbed atoms in certain FE scenarios","software"
"missing DD interactions","Avoid deadlock when checking for missing DD interactions","A fix for a deadlock that occurred when missing bonded interactions were detected after domain decomposition","software"
"Parrinello-Rahman and md-vv checkpoints","Fix checkpoint restarts using Parrinello-Rahman and md-vv","A fix to allow reading checkpoints created with these methods in the modular simulator","software"
"orientation restraints","Avoid overzealous program abort with orientation restraints","A fix to prevent mdrun from aborting on checking orientation restraints in multiple molecules when none were applied","software"
"mdrun -multidir with shared state","Add fatal error for mdrun -multidir when simulations sharing state start at different step","A fix to issue a fatal error when simulations in a multi-simulation run start at different steps","software"
"skewed box with modular simulator","Correct skewed box using modular simulator without DD","A fix to check for overly skewed boxes when using the modular simulator without domain decomposition","software"
"NMR restraints with modular simulator","Fix NMR restraints using modular simulator","A fix for NMR restraints not working as expected under the modular simulator","software"
"integer overflow with dispersion correction","Avoid integer overflow when using dispersion correction","A fix for an integer overflow in the index type for dispersion correction","software"
"pairlist buffer on Intel GPUs","Fix too small pairlist buffer on Intel GPUs","A fix for a too-small pairlist buffer on Intel GPUs, which assumed a 4x4 instead of 4x2 atom-cluster pair kernel","software"
"checkpoint files out of sync","Fix checkpoint files getting out of sync with simulations sharing data","A fix to add an MPI barrier before renaming checkpoint files to prevent them from getting out of sync","software"
"graph and modular simulations","Fix simulations using graph and modular simulations","A fix for a segmentation fault when using the modular simulator and a graph object","software"
"COM removal with frozen atoms","Fix center of mass motion removal with frozen atoms","A fix to correctly remove completely frozen atoms from COM removal groups in grompp","software"
"temperature calculation with partial COM removal","Fix temperature calculation when center of mass motion is removed for part of the system","A fix for incorrectly lowered degrees of freedom in this uncommon case","software"
"undefined NB kernel types","Fix possible issue with picking undefined NB kernel types","A fix for missing definitions for specific CPU reference NB kernel types","software"
"ICC NextGen","Add support for ICC NextGen","Support for the Intel Compiler based on LLVM technology","software"
"OpenCL on Volta and Turing","Document known issues with OpenCL on Volta and Turing","Documentation of known issues with OpenCL on these NVIDIA GPU architectures","data source"
"modified source files in release tarballs","Fix check for modified source files in release tarballs","A fix to ensure modifications to the source tree are picked up after the build directory is generated","software"
"gmx mdrun -membed","gmx mdrun -membed","A deprecated feature for embedding a protein in a membrane","software"
"gmx mdrun -rerun","gmx mdrun -rerun","A deprecated feature for re-calculating energies from a trajectory","software"
"Integrator .mdp options","Integrator .mdp options will only contain dynamical integrators","A change to separate dynamical integrators from energy minimization and normal-mode analysis","software"
"gmx do_dssp","gmx do_dssp to be replaced","A deprecated tool that will be replaced with a native implementation","software"
"mdrun -deffnm","mdrun -deffnm to be removed","A deprecated feature for grouping files by a common prefix","software"
"OpenCL","OpenCL to be removed as a GPU framework","A GPU framework for which support will be removed","software"
"Intel KNC (MIC) support","Intel KNC (MIC) support","A deprecated architecture","software"
"Sparc64 HPC ACE","Sparc64 HPC ACE","A deprecated architecture","software"
"Legacy SIMD architecture support","Legacy SIMD architecture support","Older SIMD implementations that are deprecated","software"
"mdrun-only build","The mdrun-only build of GROMACS","A removed build configuration that was no longer easier to build or test","software"
"hwloc version 1","Support for version 1 of the hardware locality library hwloc","Support for this older version is deprecated","software"
"Legacy API","Legacy API","A statement that all headers in the src directory are for internal consumption and subject to change","software"
"Constant-acceleration MD","Constant-acceleration MD","A feature that has been broken for many years and will be removed","software"
"Reading .pdo files in gmx wham","Reading .pdo files in gmx wham","A removed capability to read an old output format","software"
"32bit architectures","Support for 32bit architectures","A deprecated feature due to lack of large-scale resources for testing","software"
"Free-energy soft-core power 48","Free-energy soft-core power 48","A rarely used and therefore deprecated soft-core power","software"
"Armv7 support","Support for Armv7","A deprecated architecture due to lack of resources for support and fixes","software"
"Generation of virtual sites for aromatic rings","Generation of virtual sites to replace aromatic rings in standard residues","A deprecated feature thought to produce artifacts and in need of simplification","software"
"Benchmarking options","Benchmarking options only available with gmx benchmark","Options like -confout moved from mdrun to a dedicated benchmark tool","software"
"gmx mdrun -nsteps","gmx mdrun -nsteps","A deprecated option whose convenience was outweighed by its poor implementation","software"
"Group cut-off scheme","Group cut-off scheme","A removed feature that several kinds of simulations depended on","software"
"Generalized reaction-field","Generalized reaction-field","A feature that only worked with the removed group scheme","software"
"gmx anadock","gmx anadock tool was removed","A tool for analyzing AutoDock outputs that was removed","software"
"gmx dyndom","gmx dyndom tool was removed","A tool for analyzing DynDom outputs that was removed","software"
"gmx morph","gmx morph tool was removed","A tool for morphing between structures that was removed","software"
"gmx mdrun -gcom","gmx mdrun -gcom","A removed feature that overrode other .mdp settings in a confusing way","software"
"Hygon Dhyana CPU architecture","Added support for Hygon Dhyana CPU architecture","Support for hardware detection and heuristics for this CPU","software"
"PME offload with OpenCL","Enabled PME offload support with OpenCL on NVIDIA and Intel GPUs","A feature that was previously disabled and is now enabled","software"
"Solaris with GCC","Fixed building on Solaris with GCC","A fix to enable building GROMACS on this OS","software"
"GMX_VERSION_STRING_OF_FORK","Introduced CMake variable GMX_VERSION_STRING_OF_FORK","A variable to help identify forked versions of GROMACS","identifier"
"release tarballs checksum","Provide checksum to validate release tarballs","A new feature to validate the integrity of release tarballs","software"
"decoupling without SD","Change grompp warning about decoupling without SD to a note","A change in the severity of the message about this simulation setup","software"
"PME forces with FE","Actually fix PME forces with FE without perturbed q/LJ","A fix for incorrectly ignoring mesh forces on non-perturbed atoms in certain FE scenarios","software"
"orientation restraints","Avoid overzealous program abort with orientation restraints","A fix to prevent mdrun from aborting when checking for orientation restraints in multiple molecules","software"
"rerun with no GPU","Calculate Coulomb and LJ reciprocal terms in rerun","A fix for not calculating reciprocal terms in reruns on CPU-only builds","software"
"gmx disre","Added check for inconsistent input of distance restraint labels in gmx disre.","A new check for inconsistent labels in this tool","software"
"Intel compiler errors","Fix compiler errors with Intel compiler","A fix for a compiler error with recent Intel compilers","software"
"GPU detection errors","Avoid cryptic GPU detection errors when devices are unavailable or out of memory","A fix for cryptic errors when GPU devices are unavailable","software"
"uninitialized data on PME only ranks","Fix use of uninitialized data on PME only ranks","A fix for uninitialized PME datastructures when building with clang","software"
"Apple Clang compiler","Work around broken Apple Clang compiler in Mac OS Catalina","A workaround for a compiler bug related to stack alignment","software"
"intermolecular interactions and domain decomposition","Fix error with intermolecular interactions and domain decomposition","A fix for an error with long-distance intermolecular interactions and DD","software"
"AWH with pull-geometry 'direction' periodic","Fix issues with AWH with pull-geometry 'direction' to be periodic","A fix to make this pull geometry periodic and clarify documentation","software"
"AWH initial stage","Remove assertion failure with AWH when not using the initial stage","A fix for an assertion failure when the initial stage is not used","software"
"gmx angle tool output","Remove problematic output of gmx angle tool","The calculation of standard deviation for empty populations was removed","software"
"libhwloc headers and runtime","Check that libhwloc headers and runtime match","A fix to prevent mismatches between compile-time and run-time libhwloc versions","software"
".gro file formatting","Fix .gro file formatting with large boxes","A fix to ensure proper whitespace separation for large box vectors","data format"
"PDB CONECT record output","Fix duplicate PDB CONECT record output","A fix to prevent duplicated CONECT records in PDB files","data format"
"bonded interactions in wrong GPU stream","Fix performance issue with bonded interactions in wrong GPU stream","A fix for a performance issue caused by placing bonded interactions in the wrong GPU stream","software"
"CMAP across box boundary","Fix incorrect pressure when atoms in CMAP cross a box boundary","A fix for incorrect pressure calculation when a CMAP term spans a periodic boundary","software"
"LJ cut-off on GPU","Fix incorrect LJ cut-off on GPU when rvdw < rcoulomb","A fix for an incorrect initial LJ cut-off on the GPU in certain scenarios","software"
"missing bonded forces with CUDA GPUs and DD","Fix (unlikely) missing bonded forces with CUDA GPUs and domain decomposition","A fix for a rare case of missing bonded forces with this setup","software"
"final kinetic energy and temperature reporting","Fix incorrect reporting of final kinetic energy and temperature","A fix for incorrect reporting of KE and temperature at the last step in certain cases","software"
"cosine COM pulling","Fix segmentation fault in grompp and mdrun with cosine COM pulling","A fix for a segmentation fault with this feature","software"
"angle constraints between constraints","Fix grompp not adding angle constraints between constraints","A fix for not replacing bonds with angle constraints when using constraints=all-angles","software"
"gmx wham with angle and dihedral geometries","Fix gmx wham with angle and dihedral geometries","A fix for an incorrect radian-to-degree conversion","software"
"gmx xpm2ps library file","Fix bug in gmx xpm2ps","A fix for a failure when no library file was provided","software"
"gmx anaeig eigenvector reading","Fix bug in gmx anaeig","A fix for an issue when reading a second set of eigenvectors","software"
"demux.pl script","Fix issue with demux.pl script","A fix for discontinuous trajectories from long replica exchange simulations","software"
"gmx disre with non-consecutive restraints","Made gmx disre work with non-consecutively labeled restraints","A fix to allow non-consecutive labels for restraints","software"
"gro files with index groups","Fixed writing of gro files with index groups","A fix to ensure correct atom name ordering when writing a .gro file from an index group","software"
"gmx make_ndx chain IDs","Made gmx make_ndx keep chain IDs","A fix to prevent old style structure file reading from overwriting chain IDs","software"
"PME OpenCL on Apple","Disable PME OpenCL on Apple","A fix to disable OpenCL PME on Apple platforms due to a compiler bug","software"
"AMD Zen 2 detection","Added AMD Zen 2 detection","A feature to detect this architecture and use tuned non-bonded kernels","software"
"AWH with pull-geometry 'direction' periodic","Allow AWH with pull-geometry 'direction' to be periodic","A change to make this pull geometry periodic when the AWH interval is large","software"
"PQR formatting","Fix PQR formatting","A fix for incorrect formatting in tools that use PQR files","data format"
"gmx wham with angle geometries","Fix gmx wham with angle geometries","A fix for mixing up degree and radian units","software"
"hbond grid","Give meaningful error with too large grid in hbond","A fix to prevent a crash by allocating too much memory for a large grid","software"
"include delimiters in grompp","Add some information for syntax errors with include delimiters in grompp","Improved error messages for this syntax error","software"
"reference SIMD setups","Fixed wider reference SIMD setups","A fix for a too-small memory alignment in reference SIMD builds","software"
"Apple Clang build failure","Fixed build failure with Apple Clang","A fix for a build failure due to qsort being undefined","software"
"awh1-dim1-period","Removed non-existent mdp option awh1-dim1-period from user guide","Removal of a non-existent option from the documentation","software"
"L-BGFS minimizer","Fix L-BGFS minimizer","A fix for the minimizer failing on a number of systems","algorithm"
"pull geometry direction-periodic with AWH","Disallow pull geometry direction-periodic with AWH","A change to disallow this combination to prevent incorrect behavior","identifier"
"mdrun -nsteps option","Fixed mdrun -nsteps option","A fix for the deprecated -nsteps option to allow extending simulations","identifier"
"gmx cluster -clndx indices","gmx cluster -clndx indices now correct","A fix for off-by-one errors in the reported cluster indices","software"
"gmx editconf chain IDs","gmx editconf -f in.pdb -o out.pdb again preserves chain IDs","A fix for an inadvertently broken feature that now preserves chain IDs","software"
"AVX 512 detection code","Fix error in AVX 512 detection code","A fix for a typo in the CMake code for AVX-512 detection","software"
"GROMOS force fields warning","Added warning with the use of GROMOS force fields","A new warning in grompp about using GROMOS force fields with single-range cut-offs","software"
"FFTW with clang and AVX-512 SIMD","Prevented internal build of FFTW with clang and AVX-512 SIMD","A fix to prevent the internal FFTW build from attempting an unsupported compilation","software"
"2D/3D dynamic load balancing","Fix error with 2D/3D dynamic load balancing","A fix for an error when a cell size was limited","software"
"LJ repulsion force switching on GPUs","Fix incorrect LJ repulsion force switching on GPUs","A fix for a wrong sign in the LJ repulsion force switching coefficient on GPUs","software"
"Delta H with mass lambda's","Correct free-energy Delta H output with mass lambda's","A fix for double-counting mass perturbation contributions in BAR calculations","measure"
"trjconv -ndec","Fix trjconv -ndec","A fix to make this option work correctly with .gro files","software"
"tune_pme","Fix tune_pme","A fix for a file reading error in the tool","software"
"clFFT fallback","disabled internal cIFFT fallback used for OpenCL support","A fix to issue a fatal error when the bundled clFFT cannot be built with MSVC","software"
"gmx cluster","gmx cluster","A tool for which PDB and index file output was corrected and improved","software"
"pull-pbc-ref-from-prev-step-com","pull-pbc-ref-from-prev-step-com","An option to use the COM of the previous step as a PBC reference in pulling","identifier"
"Restraint module for gmxapi","Restraint module for gmxapi MD extension code","New functionality for registering externally compiled MD extensions at runtime","software"
"pull-fout-average","pull-fout-average","A new option to output average pull forces","identifier"
"pull-xout-average","pull-xout-average","A new option to output average pull positions","identifier"
"update groups","Implemented update groups","A performance improvement based on grouping atoms with update dependencies","method|algorithm"
"PME on GPU with charge-free FEP","PME on GPU when running free energy perturbations not involving charges","A feature to run PME on the GPU for certain free energy calculations","method"
"PME long-ranged interaction GPU offload","PME long-ranged interaction GPU offload now available with OpenCL","A feature to offload PME calculations to the GPU using OpenCL on all supported vendors","method|software"
"Intel integrated GPUs","Intel integrated GPUs are now supported for GPU offload with OpenCL","A feature to offload nonbonded tasks to integrated Intel GPUs","software"
"Bonded interactions on CUDA GPU","Bonded interactions are now supported for CUDA GPU offload","A feature to run common bonded and LJ-14 interactions on NVIDIA GPUs with CUDA","method|software"
"NVIDIA Turing GPUs","Added code generation support for NVIDIA Turing GPUs","A feature to directly target the Turing architecture with the nvcc compiler","software"
"nmeig","nmeig does thermochemistry","A tool that now generates thermochemical properties from a Hessian matrix","software"
"report-methods","Implement writing of LaTeX methods in report-methods","A new tool to generate a summary of simulation methods","software"
"trilinic DD code","Fix type bug in trilinic DD code","A bug fix for an issue with off-diagonal elements in domain decomposition","software"
"Velocity Verlet integrators","Velocity Verlet integrators output energy averages from correct steps","A fix for how energy averages were accumulated for this integrator type","algorithm|integrator"
"gmx h2order -d option","Fix non-funtioning gmx h2order -d option","A fix for an option that would always take the normal along the z-axis","software"
"pull group index handling","Fix pull group index handling","A fix for incorrect validation of pull group indices in grompp","software"
"OSX build","Fix building on OSX","A fix for a missing include that prevented compilation on macOS","software"
"GPU version of LINCS","Bug fix for the GPU version of LINCS in multiple domain case","A fix for a memory re-allocation issue in the GPU LINCS implementation","software"
"N-body virtual sites with DD","Fix index handling of N-body virtual sites with domain decomposition","A fix for incorrect indexing of N-body virtual sites in the domain decomposition code","software"
"LJ-PME and dispersion correction","Fix assertion failure with LJ-PME and dispersion correction","A fix for an assertion failure during PME tuning with this combination","software"
"FEP with modular simulator and DD","Bug fix for FEP calculations with modular simulator and domain decomposition","A fix for incorrect mass handling in FEP calculations with this setup","software"
"RDRAND on Ryzen","Added workaround for RDRAND not always returning random numbers on Ryzen","A workaround for a hardware bug in the random number generator on some AMD CPUs","software"
"gmx trjcat -demux","Fix default output with gmx trjcat -demux","A fix to ensure files are written when using the default file name output","software"
"CUDA 11.0","CUDA 11.0 supported","A fix to enable building and testing with CUDA 11.0","software"
"MSVC build","Fix building with MSVC","A fix for a missing header that caused build failure with MSVC","software"
"RDTSCP on x86","Only check for RDTSCP on x86 platforms","A change to only check for this instruction on relevant platforms","software"
"grompp with frozen system","Fix crash of grompp when the whole system is frozen","A fix for a segmentation fault when the entire system was frozen","software"
"molecule indexing","Fixes the unexpected change in molecule indexing in output after simulation","A fix to ensure repeat molecules are numbered consecutively","software"
"libgromacs CMake target","Fix INTERFACE_INCLUDE_DIRECTORIES for libgromacs CMake target","A fix for a malformed CMake target referencing non-existent directories","software"
"gmx lie","Fix incorrect reading of certain older tpr files","A fix for incorrect reading of some older tpr files, which could lead to memory allocation errors","software"
"gmx lie","Fix segmentation fault with gmx lie","A fix for a crash due to mismatching energy term sizes","software"
"gmx xpm2ps","Fix matrix reading in gmx xpm2ps","A fix for a failure to read a matrix if no second matrix was provided","software"
"gmx hbond","Fix uninitialized variable warnings in gmx hbond","A fix to prevent garbage output due to uninitialized memory","software"
