"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"Accelerated Molecular Dynamics","aMD","Enhanced sampling method adding a bias potential to reduce barriers.","method|algorithm","yes","828,3037,3041,3060,3115,3138,3142,3163,47566,47725,51452,55876,122147,126249,131266,131295,131309,131312,131315,131318,131325,131383,131392,131394,131409,131413,131438,131441,131488,131490,131496,131506,131512,131598,131607,131612,131617,131627,131641,131688,131692,131693,131769,131805,131812,131820,131895,131903,131911,131955,132004,132049,132065,132121,133749,133751,133785","59"
"aMD Boost Selection","iamd","Selects which potential energy terms are boosted in aMD.","method|algorithm","yes","131425,131429,131435,131506,131774,131789,131801,131850","8"
"aMD Dihedral Energy Threshold","EthreshD","Threshold dihedral energy for applying the aMD boost.","measure|parameter","yes","131462,131740,131774,131789,131801,131850","6"
"aMD Dihedral Alpha Factor","alphaD","Determines the strength of the dihedral energy boost.","measure|parameter","yes","131466,131736,131774,131789,131801,131856","6"
"aMD Potential Energy Threshold","EthreshP","Threshold total potential energy for applying the aMD boost.","measure|parameter","yes","131474,131761,131774,131789,131801,131856","6"
"aMD Potential Alpha Factor","alphaP","Determines the strength of the total potential energy boost.","measure|parameter","yes","131478,131752,131774,131789,131862","5"
"aMD Log File","amd.log","Log file containing aMD boost information for reweighting.","data format|data source","yes","131441,131490,131496,131506,131512,131598,131617,131627,131641,133751","10"
"aMD Log File Command","-amdlog","Command line option to specify the aMD log file name.","identifier|software","yes","131452","1"
"Ligand Gaussian Accelerated Molecular Dynamics","LiGaMD","GaMD variant for simulating ligand binding and unbinding.","method|algorithm","yes","131955,131959,131974,131977,131982,131983,131987,132049,132098,132131,132138,132148,132284,132576,132892,132902","17"
"Dual-Boost Ligand GaMD","LiGaMD_Dual","LiGaMD variant with a second boost on the system.","method|algorithm","yes","131972,132143,132148,132289,133468","5"
"Peptide Gaussian Accelerated Molecular Dynamics","Pep-GaMD","GaMD variant for sampling peptide-protein interactions.","method|algorithm","yes","132004,132011,132098,132157,132163,132177,132294,132577,133081,133091,133580","12"
"Dual-Boost Peptide GaMD","Pep-GaMD_Dual","Pep-GaMD variant with a second boost on the system.","method|algorithm","yes","132169,132174,132177,132299,132317","5"
"Ligand Gaussian Accelerated Molecular Dynamics 3","LiGaMD3","GaMD variant with three distinct boosts for flexible substrates.","method|algorithm","yes","132049,132053,132056,132186,132404,132589,132597,133531","9"
"Protein-Protein Interaction GaMD","PPI-GaMD","GaMD variant for sampling protein-protein interactions.","method|algorithm","yes","132065,132075,132086,132098,132198,132201,132203,132306,132580,132588,132596,133227,133237,133686","15"
"Dual-Boost PPI-GaMD","PPI-GaMD_Dual","PPI-GaMD variant with a second boost on the system.","method|algorithm","yes","132202,132203,132311","3"
"GaMD Boost Selection","igamd","Selects which potential energy terms are boosted in GaMD.","method|algorithm","yes","132124,132140,132145,132166,132171,132174,132201,132202,132234,132519,132553,132561,132568,132576,132577,132580,132588,132589,132596,132597,133435,133478,133541,133609,133662,133720","26"
"GaMD Threshold Energy Flag","iE","Flag to set the method for calculating threshold energy E.","method|algorithm","yes","126794,127014,132328,132363,132379,132403,132696,132735,132799,132804,132824,132938,132969,133127,133158,133275,133308,133435,133609,133662,133720","21"
"GaMD First Boost Threshold Flag","iEP","Flag to set threshold energy for the first boost potential.","method|algorithm","yes","132363,133493,133541,133609,133662,133720","6"
"GaMD Second Boost Threshold Flag","iED","Flag to set threshold energy for the second boost potential.","method|algorithm","yes","132379,133493,133541,133609,133662,133720","6"
"GaMD Third Boost Threshold Flag","iEB","Flag to set threshold energy for the third boost potential.","method|algorithm","yes","132403,133541","2"
"GaMD Preparation cMD Steps","ntcmdprep","Number of conventional MD steps for preparation before statistics collection.","measure|process","yes","132419,132430,132496,132676,132681,132918,132923,133107,133112,133253,133259,133445,133488,133551,133619,133672,133730","17"
"GaMD Initial cMD Steps","ntcmd","Number of conventional MD steps for collecting potential energy statistics.","measure|process","yes","132427,132434,132481,132496,132531,132671,132705,132725,132730,132770,132912,132943,132959,132964,133014,133101,133132,133148,133153,133198,133247,133280,133296,133302,133348,133440,133483,133546,133614,133667,133725","35"
"GaMD Preparation Biasing Steps","ntebprep","Number of preparation steps after adding the boost potential.","measure|process","yes","132446,132460,132496,132725,132730,132959,132964,133148,133153,133296,133302,133445,133488,133551,133619,133672,133730","17"
"GaMD Biasing Steps","nteb","Number of biasing MD steps for updating potential statistics.","measure|process","yes","132459,132461,132468,132481,132496,132535,132705,132770,132943,133014,133132,133198,133280,133348,133440,133483,133546,133614,133667,133725","20"
"GaMD Restart Flag","irest_gamd","Flag to restart a GaMD simulation from a saved state.","state|process","yes","132501,132666,132750,132907,132984,133096,133173,133242,133323,133435,133478,133541,133609,133662,133720","15"
"GaMD Potential Boost StdDev Limit 1","sigma0P","Upper limit of the standard deviation for the first potential boost.","measure|parameter","yes","132544,133450,133493,133556,133624,133677,133735","7"
"GaMD Potential Boost StdDev Limit 2","sigma0D","Upper limit of the standard deviation for the second potential boost.","measure|parameter","yes","132551,133450,133493,133556,133624,133677,133735","7"
"GaMD Potential Boost StdDev Limit 3","sigma0B","Upper limit of the standard deviation for the third potential boost.","measure|parameter","yes","132559,133556","2"
"GaMD Protein 2 Start Atom","bgpro2atm","Starting atom number of the second protein in PPI-GaMD.","identifier","yes","132304,132588,133566,133706","4"
"GaMD Protein 2 End Atom","edpro2atm","Ending atom number of the second protein in PPI-GaMD.","identifier","yes","132305,132596,133567,133706","4"
"Number of Ligands","nlig","Specifies the total number of ligand molecules in the system.","measure","yes","64307,132602,132608,132617,133025,133522,138340,209689","8"
"Boost Bound Ligand Flag","ibblig","Flag to selectively boost the ligand bound to the protein.","method|algorithm","yes","132608,132626,132634,132642,133019,133522","6"
"Ligand Distance Protein Atom","atom_p","Serial number of a protein atom for ligand distance calculation.","identifier","yes","132624,132640,133030,133522","4"
"Ligand Distance Ligand Atom","atom_l","Serial number of a ligand atom for ligand distance calculation.","identifier","yes","132632,132640,133030,133522","4"
"Ligand Binding Distance Cutoff","dblig","Cutoff distance to determine if a ligand is bound.","measure|unit","yes","132640,133035,133522","3"
"Targeted MD","Targeted MD","Method to steer a simulation towards a target structure using RMSD restraints.","method|algorithm","yes","106197,106206,117521,133838,133842,133851,133869,133906,133940,133948,133956,133992,134052,134096,134132,134140,134247","18"
"Targeted MD Flag","itgtmd","Flag to enable Targeted MD or Multiply-Targeted MD.","method|algorithm","yes","126360,133917,133922","3"
"Target RMSD","tgtrmsd","The target root-mean-square deviation value for the restraint.","measure|parameter","yes","117521,133888,133910,133963,133968,133973,134058,134074,134080,134086,134093,134142,134149,134250,134277,134323","16"
"Targeted MD Force Constant","tgtmdfrc","Force constant for the targeted MD RMSD restraint.","measure|parameter","yes","133888,133902,133982,133987,134103","5"
"Targeted MD Fit Mask","tgtfitmask","Atom mask for RMS superposition between current and reference structures.","identifier|data format","yes","133859,134002,134007,134994,134999,135207,135263","7"
"Targeted MD RMSD Mask","tgtrmsmask","Atom mask for calculating the RMSD for the restraint force.","identifier|data format","yes","133863,133872,133896,134027,134032,135021,135026,135212,135270","9"
"Multiply-Targeted MD","MTMD","Targeted MD using multiple reference structures simultaneously.","method|algorithm","yes","106123,106202,133956,134096,134132,134147,134154,134156,134163","13"
"MTMD Input File Flag","-mtmd","Command line flag to specify the MTMD input file.","identifier|software","yes","106123,134156","2"
"MTMD Namelist","&tgt","Namelist containing parameters for a single MTMD target.","data format","yes","134167,134180,134520","3"
"MTMD Reference File","refin","Filename of the reference structure for an MTMD target.","data source","yes","134189,134194,134207,134521","5"
"MTMD Reference File Format","mtmdform","Flag indicating if the MTMD reference file is formatted.","data format","yes","134212,134217,134222,134226,134227,134228","7"
"MTMD Step Range","mtmdstep1, mtmdstep2","Defines the simulation step range for applying a specific MTMD target.","measure|process","yes","134472","1"
"MTMD Varying Parameters Flag","mtmdvari","Flag to vary the force constant and target RMSD over time.","method|algorithm","yes","134263,134268,134273,134279,134289,134293,134297,134302,134324,134359,134411","11"
"MTMD Target RMSD Range","mtmdrmsd, mtmdrmsd2","Initial and final target RMSD values for a varying restraint.","measure|parameter","no","","0"
"MTMD Force Constant Range","mtmdforce, mtmdforce2","Initial and final force constant values for a varying restraint.","measure|parameter","no","","0"
"MTMD Update Increment","mtmdninc","Step increment for applying changes in varying MTMD parameters.","measure|process","yes","134401,134406,134415,134422,134425,134426,134427,134472","9"
"MTMD Multiplicative Scaling Flag","mtmdmult","Flag for multiplicative scaling of the force constant.","method|algorithm","yes","134435,134440,134445,134451,134475,134476,134477","8"
"MTMD Atom Mask","mtmdmask","Atom mask for both fitting and force calculation for an MTMD target.","identifier|data format","yes","134486,134491,134508,134509,134510","6"
"Partial Nudged Elastic Band","PNEB","NEB method applied to a user-defined subset of the system.","method|algorithm","yes","134801,134817,134820,135031,135307","5"
"NEB Flag","ineb","Flag to enable Nudged Elastic Band simulation.","method|algorithm","yes","134976,134981,135217","3"
"NEB Max Spring Constant","skmax","Maximum spring constant connecting images in NEB.","measure|parameter","yes","135047,135052,135077,135217","4"
"NEB Min Spring Constant","skmin","Minimum spring constant for scaled-spring NEB calculations.","measure|parameter","yes","135067,135072,135077,135078,135217","5"
"NEB Tangent Mode","tmode","Selects the tangent definition to prevent path kinks.","method|algorithm","yes","135085,135090","2"
"NEB Quenched Velocity Verlet Flag","vv","Flag to use the quenched velocity Verlet minimization.","method|algorithm","yes","31417,31418,31743,32062,32068,32075,34603,35698,35723,35749,35774,35820,35824,35849,35870,35903,40764,43648,43892,43911,43933,110756,110760,110823,135102,135107","31"
"NEB Velocity Scaling Factor","vfac","Scaling factor for the quenched velocity Verlet algorithm.","measure|parameter","yes","135119,135124","2"
"Collective Variable","CV","A function of atomic coordinates used to describe complex motions.","measure|model","yes","135412,135471,135475,135492,135622,135632,135647,135649,135760,135764,135916,135967,136586,158200,158667,158687,158706,158867,160156,160346,160349,160353,160357,160361,160378,160382,160980,161019,161072,161114,161139,161151,161155,161300,161309,161476,161479,161672,161689,161756,161836,162093,162281,162385,162495,163126,163207,163327,163800,163864,164162,164564,164737,164841,164952,165196,165316,214911,214937,214948,214981,214985,215019,215023,215129,215219,215283","67"
"Path Collective Variable","pathCV","A collective variable defined along an optimized reaction path.","measure|model","yes","135412,135860,136158,136160,136164,136191,136194,136342,136477,136496","11"
"ASM Namelist","&asm","Namelist containing options for the Adaptive String Method.","data format","yes","135850","1"
"ASM Collective Variable File","CV_file","Path to the file defining the collective variables.","data source","yes","135911,161464,161471,161492,161756,161776,161896,161905,162281,162301,162415,162562,162599,163207,163273,163800,163820,164528,164540,164737,164757,164952","22"
"ASM Guess Path File","guess_file","Path to the file providing the initial guess for the path.","data source","yes","135954","1"
"ASM PMF-only Flag","only_PMF","Flag to start an ASM calculation directly from the PMF stage.","process|state","yes","135974,136189,136223","3"
"ASM Replica Exchange Period","REX_period","Period in timesteps for attempting replica exchange between nodes.","measure|process","yes","136006","1"
"ASM Preparation Steps","preparation_steps","Duration of the preparation stage for gradually increasing force constants.","measure|process","yes","136043,136078,136095","3"
"Grote-Hynes Theory Analysis Flag","grote_hynes","Flag to enable analysis based on Grote-Hynes theory.","method|analysis","yes","136330,136346","2"
"XMIN Minimization","XMIN","A suite of fast local energy minimization techniques.","method|algorithm","yes","26807,26812,26818,40383,40400,46979,108328,108331,126340,136745,136748,137120,137124,137128,137161,137162,137210,137220,137258,137259,137373,137405,137423,137426,137428,137446","26"
"ARPACK","ARPACK","A software library for solving large scale eigenvalue problems.","software","yes","3252,136728,136731,136732,136852,136854,136911,137477,137480,137497,137498,137504,138140,138141","15"
"Polak-Ribiere Conjugate Gradient","PRCG","A specific nonlinear conjugate gradient minimization algorithm.","algorithm|method","yes","137129,137391","3"
"Limited-memory BFGS","LBFGS","A quasi-Newton minimization algorithm for large problems.","algorithm|method","yes","137138,137148,137270,137301,137305,137391,137393,137394,139018,139408,139409","13"
"Truncated Newton Conjugate Gradient","TNCG","A minimization method using a truncated Newton approach.","algorithm|method","yes","46981,137147,137302,137305,137392,137393,137425","7"
"LMOD/XMIN Namelist","&lmod","Namelist containing options for LMOD and XMIN methods.","data format","yes","137258,137447,138582","3"
"ARPACK Arnoldi Dimension","arnoldi_dimension","Dimension of the Arnoldi factorization used by ARPACK.","measure|parameter","yes","137454,137489,137499,137500,137503,137505","6"
"LMOD Conformational Library","conflib_filename","Filename for the library of low-energy conformations found by LMOD.","data format|data source","yes","137513,137536","2"
"LMOD Monte Carlo Method","monte_carlo_method","Selects the Monte Carlo method for exploring conformations.","method|algorithm","yes","138155","1"
"DL-Find","DL-Find","An open-source suite of geometry optimization algorithms.","software|method","yes","108358,138755,138769,138770,138786,138787,138790,138800,139602","9"
"libdlfind","libdlfind","The specific library version of DL-Find linked to Sander.","software","yes","138780,138781","2"
"DL-Find Namelist","&dlfind","Namelist containing options for the DL-Find optimizer.","data format","yes","138800,138804,138828","3"
"DL-Find Active Atoms","active","Amber mask specifying which atoms are allowed to move during optimization.","identifier|data format","yes","3366,26750,26754,26761,26764,26774,48256,55095,55100,55126,55131,55155,55166,55210,55215,55238,55243,55262,55273,59493,59821,59830,59869,60042,60185,60187,61092,61123,62447,86183,86506,86508,86535,86537,87350,87393,87427,87461,87516,87971,88106,88196,88259,88264,88265,90058,97838,99544,99548,101012,114350,116650,116765,117892,122314,122352,122765,122799,124089,124119,125414,125488,136726,138836,138841,138857,138869,138911,139037,139554,139668,139669,140129,152364,152751,152831,153228,157669,157688,171129,171810,171819,172310,172327,172344,172379,172439,172475,172488,172511,172527,172528,172973,173128,173162,173185,173196,173210,177836,180336","103"
"DL-Find Coordinate Representation","crdrep","Specifies the coordinate system for geometry optimization (e.g., HDLC).","method|model","yes","138892,138897,139604,140129","4"
"DL-Find Optimization Algorithm","optalg","Selects the optimization algorithm (e.g., LBFGS, PRFO).","algorithm|method","yes","138991,138996,139177,139202,139359,139698,139730,139758,139787","9"
"DL-Find Trust Radius","trustrad","Specifies the approach for adjusting the trust radius during optimization.","method|algorithm","yes","139097,139102","2"
"DL-Find Initial Hessian","hessini","Specifies how the initial Hessian matrix is approximated.","method|algorithm","yes","139158,139163,139210","3"
"DL-Find Hessian Update","hessupd","Specifies the method for updating the approximate Hessian.","method|algorithm","yes","139038,139040,139273,139278","4"
"Dimer Method","dimer method","An algorithm for locating transition states on a potential energy surface.","method|algorithm","yes","139656,139800,139815","3"
"Dimer Method Flag","dimer","Logical flag to enable the dimer method for TS search.","method|algorithm","yes","139646,139656,139685,139800,139805,139810,139815,139864,139879","9"
"NEB Number of Images","neb_nimage","The number of images to optimize along the path.","measure|parameter","yes","140048,140053","2"
"NEB Climbing Image Test","neb_climb_test","Threshold for spawning a climbing image to find the saddle point.","measure|parameter","yes","140064,140069,140076","3"
"NEB Freezing Image Test","neb_freeze_test","Threshold for freezing NEB images during optimization.","measure|parameter","yes","140076,140082","2"
"NEB Spring Constant","nebk","The spring force constant connecting adjacent NEB images.","measure|parameter","yes","140098,140103","2"
"NEB Cartesian Optimization","neb_cart","Flag to perform NEB optimization in Cartesian coordinates.","method|algorithm","yes","140113,140118","2"
"Free Energy","Free Energy","A thermodynamic potential that measures the useful work obtainable from a system.","measure|state","yes","2062,2189,2194,2210,5811,15927,18502,18522,18528,19000,19703,20307,21377,21433,21556,21562,21870,22403,22479,22481,23214,23369,23497,23498,23499,23500,23501,23512,24132,24268,24282,24290,24310,26392,26513,26541,26571,27027,27028,27035,27048,29766,30206,30992,32272,32277,32484,32554,32643,32645,32656,32678,32694,33554,33603,34484,34496,34497,35282,35294,35331,35343,35357,35370,37576,40177,40220,42972,42993,44055,62496,78301,78312,84783,85448,90456,90509,97282,97289,98672,98673,99728,99734,99760,106065,107461,113333,113363,114776,114804,119671,119729,122048,122086,122135,122139,130068,130077,131285,131291","312"
"TI Free Energy Flag","icfe","Flag to enable thermodynamic integration free energy calculations.","method|process","yes","133502,133561,133590,133643,133696,140261,140635,140642,141003,143129,147679,147751,147833,147901,148079,148183,148512,166289,166294,167737","20"
"TI Lambda Value","clambda","The value of the coupling parameter lambda for a TI simulation.","measure|parameter","yes","140665,140672,143130,143139,143297,148183,148520,166317,166362,166367,166372,167709,167750,167751,167753,167763,167764,167766,208837","19"
"TI Lambda Exponent","klambda","The exponent used in the non-linear mixing rule for TI.","measure|parameter","yes","140716,140721,141007,141075,141102,141165,141289,143129,166331,166336","10"
"TI SHAKE Handling","tishake","Flag that determines how SHAKE constraints are handled in TI.","method|algorithm","yes","140739,140744,141366,141374,143113,143121,147214,147219,147224,147331,148173","11"
"TI Mask for V1","timask2","Specifies atoms unique to the final state V1 in pmemd TI.","identifier|data format","yes","114852,133512,133561,133600,133653,133711,140861,140866,147679,147761,147843,147911,148040,148089,148188","15"
"Gaussian Quadrature","Gaussian Quadrature","A numerical method for approximating the definite integral of a function.","algorithm|method","yes","140940","1"
"Linear Mixing","Linear Mixing","A potential energy function that is a linear interpolation between two states.","model|method","yes","106066,141043,143095","3"
"Softcore Potential","Softcore Potential","A modified potential function to avoid singularities when atoms appear/disappear.","model|method","yes","140343,143599,143652,143683,144428,144444,144771,167752","8"
"Softcore Potential Flag","ifsc","Flag to enable the use of softcore potentials in TI.","method|model","yes","133502,133561,133590,133643,133696,141141,143156,143161,147751,147833,147901,148079,148183,148512,166303,166308,166429,167749,167751,167763,167765","22"
"Softcore Alpha Parameter","scalpha","The alpha parameter in the softcore van der Waals potential.","measure|parameter","yes","143195,143971,144482,148183,166503,166508","6"
"Log dV/dL Flag","logdvdl","Flag to write a summary of all dV/dlambda values for postprocessing.","process|software","yes","143229,143234","2"
"Charge Mask","crgmask","Specifies atoms that will have their partial charges set to zero.","identifier|data format","yes","143304,143309,143338,147355,147855,167748","6"
"Softcore Mask (Sander)","scmask","Specifies the unique softcore atoms for a process in sander.","identifier|data format","yes","89116,142956,143327,143332,143348,143349,143503,167748,208310,208351,208837","11"
"Softcore Mask for V1 (PMEMD)","scmask2","Specifies the unique softcore atoms for state V1 in pmemd.","identifier|data format","yes","89082,89108,89114,133512,133561,133600,133653,133711,142963,143380,143385,143395,147761,147843,147911,148050,148099,148116,148193","19"
"Softcore Beta Parameter","scbeta","The beta parameter in the softcore electrostatic potential.","measure|parameter","yes","143539,143972,144482,144541,144546,144551,144591,148183,166517,166522","10"
"Smoothstep Function","Smoothstep","A family of sigmoid-like interpolation functions with zero derivatives at endpoints.","model|algorithm","yes","143589,143594,143651,143661,143683,143689,143696,143804,143891,143893,143920,144103,144231,144281,144313,144321,144358,144366,211466,212200","20"
"Lambda-Scheduling","lambda-scheduling","A technique using smoothstep functions to control the alchemical transformation path.","method|algorithm","yes","143936,143949,143984,143990,143996,144034,144218,144328,144373","9"
"Lambda-Scheduling Flag","gti_lam_sch","Flag to enable lambda-scheduling in pmemd.cuda TI simulations.","method|algorithm","yes","143926,143931,143971,144244,144313,144329,144358,144374","8"
"Lambda-Scheduling Control File","-lambda_sch","Command line option to specify the lambda-scheduling control file.","identifier|software","yes","143990,144001,144328,144373","4"
"Electrostatic Softcore Flag","gti_ele_sc","Flag to utilize smoothstep functions for electrostatic softcore potentials.","method|model","yes","144290,144295","2"
"VDW Softcore Flag","gti_vdw_sc","Flag to utilize smoothstep functions for van der Waals softcore potentials.","method|model","yes","144335,144340","2"
"Scale Beta Flag","gti_scale_beta","Flag to enable a new form of softcore potential with unit-less beta.","method|model","yes","144434,144439,144591,144631","4"
"VDW Softcore Exponent","gti_vdw_exp","The exponent 'n' in the modified softcore VDW potential.","measure|parameter","yes","144489,144494","2"
"Electrostatic Softcore Exponent","gti_ele_exp","The exponent 'm' in the modified softcore electrostatic potential.","measure|parameter","yes","144515,144520","2"
"Softcore Tail Smoothing Flag","gti_cut_sc","Flag to enable tail smoothing to the softcore potential.","method|model","yes","144729,144734,144761,144766","4"
"Softcore Interaction Control","gti_add_sc","Flag to control how interactions involving softcore regions are treated.","method|model","yes","133502,133590,133643,133696,144879,144884,144944,144953,144976,145047,146329,146339,153888","13"
"Softcore Bonded Term Control","gti_bat_sc","Flag to control how bonded terms involving softcore regions are treated.","method|model","yes","146380,146385,146436,146542,146569,147186,147197","7"
"Softcore Bond Mask 1","sc_bond_mask1","Mask to select non-scaled bond terms for softcore region 1.","identifier|data format","yes","146444,146449,146465,146481,146497,146513,146529,147057","8"
"Softcore Bond Mask 2","sc_bond_mask2","Mask to select non-scaled bond terms for softcore region 2.","identifier|data format","yes","146460","1"
"Softcore Angle Mask 1","sc_angle_mask1","Mask to select non-scaled angle terms for softcore region 1.","identifier|data format","yes","146476,147104","2"
"Softcore Angle Mask 2","sc_angle_mask2","Mask to select non-scaled angle terms for softcore region 2.","identifier|data format","yes","146492","1"
"Softcore Torsion Mask 1","sc_torsion_mask1","Mask to select non-scaled torsion terms for softcore region 1.","identifier|data format","yes","146508,147151","2"
"Softcore Torsion Mask 2","sc_torsion_mask2","Mask to select non-scaled torsion terms for softcore region 2.","identifier|data format","yes","146524","1"
"Mass Synchronization Flag","gti_syn_mass","Flag to control mass synchronization of common atoms in TI.","method|process","yes","147267,147279,147284","3"
"VDW Zeroing Mask","ti_vdw_mask","Mask to select atoms whose VDW interactions will be zeroed out.","identifier|data format","yes","147344,147349","2"
"Detailed TI Output Flag","gti_output","Flag to output term-by-term detailed TI results.","process|software","yes","147360,147365","2"
"CPU-compatible TI Output Flag","gti_cpu_output","Flag to ensure TI output matches the CPU version's format.","process|software","yes","133502,133566,133590,133643,133696,147397,147402","7"
"Internal Softcore Cutoff Flag","gti_cut","Flag to control whether internal softcore non-bonded terms are cut.","method|process","yes","147463,147468,147509","3"
"Softcore Charge Neutralization Flag","gti_chg_keep","Flag to control whether charges of softcore atoms are neutralized.","method|process","yes","147516,147521","2"
"FEP/MBAR Flag","ifmbar","Flag to generate output for FEP or MBAR postprocessing.","method|process","yes","148210,148237,148242,148321,211597","5"
"MBAR States","mbar_states","The number of lambda windows considered in an MBAR calculation.","measure|parameter","yes","148252,148326","2"
"MBAR Lambda Values","mbar_lambda","A list of the lambda values for all simulated states.","measure|parameter","yes","148280,148331","2"
"LIE Calculation Flag","ilrt","Flag to turn on the computation of Linear Interaction Energy contributions.","method|process","yes","148541","1"
"LIE Interval","lrt_interval","The frequency in MD steps to compute LIE contributions.","measure|process","yes","148546,148559","3"
"LIE Solute Mask","lrtmask","Atom mask defining the 'solute' for LIE calculations.","identifier|data format","yes","148551,148552","2"
"Expanded Ensemble","Expanded Ensemble","A statistical ensemble that includes thermodynamic state parameters as variables.","model|state","yes","148593,148608,148615,148618,148627,148795,156947,156965","8"
"Detailed Balance","Detailed Balance","A condition ensuring a reversible Markov chain in Monte Carlo methods.","state|concept","yes","148637,148646,150253,151510","4"
"Number of Exchanges","numexchg","The total number of replica exchange attempts to be performed.","measure|process","yes","112760,148871,148985,148997,149542,149888,150591,150768,151805,152650,153125,157473","12"
"Asynchronous H-REMD Flag","gremd_acyc","Flag to disable exchanges between the first and last replicas in H-REMD.","method|algorithm","yes","148881,148886,150759","3"
"REMD Type Flag","-rem","Command-line flag to define the type of 1D REMD simulation.","identifier|software","yes","61639,112785,112796,112807,112818,136697,148913,150827,150901,151522,151782,152099,152599,152605,153074,153080,157296,162193,162199,162223,162932,163509,163514,163537,163594,163604,163613,165233","28"
"REMD Type File","-remtype","Command-line flag to specify the name of the REMD type file.","identifier|software","yes","148938","1"
"Random Partner Exchange Flag","-remrandompartner","Flag to enable random partner selection for replica exchanges.","method|algorithm","yes","148951","1"
"genremdinputs.py","genremdinputs.py","A Python tool to generate input files for REMD simulations.","software","yes","149045,149057,149077,149107,149441,149505,149587,149596,149601,149681,149694,149699,149928,149953,150119,150171,150175,151992,152590,153064,157103","21"
"H-REMD dimension 1","HAMILTONIAN1","Identifier for the first Hamiltonian dimension in a multi-dimensional REMD.","identifier|method","yes","150144,150161,150186","3"
"H-REMD dimension 2","HAMILTONIAN2","Identifier for the second Hamiltonian dimension in a multi-dimensional REMD.","identifier|method","yes","150148,150165,150186","3"
"REMD Exchange Probability","P_i,j","The probability of a successful exchange between replicas i and j.","measure|state","no","","0"
"REMD Groupfile","-groupfile","Command-line option specifying the file that defines each replica's simulation.","identifier|software","yes","61639,112447,112858,118788,118911,140370,149230,149681,149928,149953,150175,150335,150827,152095,152599,153074,157308,169776,170096","19"
"Number of Replicas","-ng","Command-line option specifying the number of replicas in a simulation.","measure|parameter","yes","41685,41811,41824,61639,82990,82995,112447,112858,112870,118788,118911,118993,127106,140370,149211,149513,150351,150353,150758,150827,150902,150904,150928,150938,151091,151704,152091,152599,153074,157108,157308,163533,163601,164132,169375,169770,170092,174196,214074","39"
"REMD Restart Flag","irest=1","Flag to indicate a restart of a simulation, continuing from a previous state.","state|process","yes","106430,108499,112704,130897,130962,131039,131103,131168,131233,131828,149538,149884,150462,157364,165819","15"
"REMD NetCDF Restart","ntxo=2","Flag to write restart files in the NetCDF binary format.","data format|process","yes","150461,150790,157287","3"
"REMD NetCDF Trajectory","ioutfm=1","Flag to write trajectory files in the NetCDF binary format.","data format|process","yes","149554,149900,150461,157287","4"
"Hybrid Solvent REMD","Hybrid-REMD","REMD method using a hybrid explicit/implicit solvent model for exchange calculations.","method|algorithm","yes","150923,151053","2"
"Number of Waters to Keep","numwatkeep","Number of explicit water molecules retained in the hybrid solvent model.","measure|parameter","yes","150974,150993,150998,151005,151017","5"
"Hybrid GB Model","hybridgb","Specifies the Generalized Born model used in the hybrid solvent calculation.","model|method","yes","150979,151025,151030,151043","4"
"Reservoir REMD","Reservoir REMD","REMD method that exchanges structures with a pre-generated high-temperature ensemble.","method|algorithm","yes","148944,151076,151109,151161,151286,151294","6"
"Reservoir REMD Type","-rremd","Command-line flag specifying the type of reservoir to use.","identifier|method","yes","151166","1"
"Reservoir File Prefix","-reservoir","Command-line flag specifying the file name prefix for reservoir structures.","identifier|data source","yes","151212","1"
"Reservoir Energies File","-saveene","Command-line flag specifying the file with energies of reservoir structures.","identifier|data source","yes","151239","1"
"Reservoir Cluster Info File","-clusterinfo","File specifying dihedral definitions for non-Boltzmann reservoir weighting.","data format|data source","yes","151294","1"
"Replica Exchange Free Energy Perturbation","REFEP","A method combining H-REMD and FEP to calculate free energy differences.","method|process","yes","151621,151698,151742,151995","5"
"Replica Exchange Umbrella Sampling","REUS","A method combining H-REMD and umbrella sampling for enhanced sampling.","method|algorithm","yes","151642","1"
"Replica Exchange with Arbitrary Degree of Freedom","REAF","A REST2-like enhanced sampling method using a tau parameter.","method|algorithm","yes","147446,147450,153236,153240,153249,153258,153259,153260,153262,153263,153272,153308,153309,153315,153332,153889,156582,156583,156717,156718,156722,156724,156731,156750,156763,156771,156787,156882,156905,156915","32"
"REAF Flag","ifreaf","Flag to enable REAF enhanced sampling.","method|algorithm","yes","156717,156740,156745","3"
"REAF Tau Parameter","reaf_tau","The tau parameter that controls the scaling of interactions in REAF.","measure|parameter","yes","156722,156807,156812,156865,156916","7"
"REAF Effective Temperature","reaf_temp","The effective temperature corresponding to a given tau value in REAF.","measure|state","yes","156839,156844,156865","3"
"REAF Mask 1","reaf_mask1","Amber mask defining the REAF region for the lambda=0 state.","identifier|data format","yes","156723,156724,156870,156875","4"
"REAF Mask 2","reaf_mask2","Amber mask defining the REAF region for the lambda=1 state.","identifier|data format","yes","156730,156893,156898","3"
"Multidimensional REMD Namelist","&multirem","Namelist defining a dimension in a multi-dimensional REMD simulation.","data format","yes","157111,157116,157121,157212,157247","5"
"Multidimensional REMD Exchange Type","exch_type","Defines the type of exchange for a given dimension (e.g., TEMPERATURE).","identifier|method","yes","149190,157127,157132,157217,157252","5"
