"Term","Variable","Description","Category1|Category2|...","really found?","page_numbers","occurrence_count","removal_reason"
"orientation restraints","Avoid overzealous program abort with orientation restraints","A fix to prevent mdrun from aborting when checking for orientation restraints in multiple molecules","software","yes","80,81,95,103,238,415,438,439,440,591,827,837,878,879,886,888,889","28","Lower-priority member of semantic cluster led by row 976 (Champion: 'orientation restraints')"
"orientation restraints","Avoid overzealous program abort with orientation restraints","A fix to prevent mdrun from aborting on checking orientation restraints in multiple molecules when none were applied","software","yes","80,81,95,103,238,415,438,439,440,591,827,837,878,879,886,888,889","28","Lower-priority member of semantic cluster led by row 976 (Champion: 'orientation restraints')"
"OSX build","Fix building on OSX","A fix for a missing include that prevented compilation on macOS","software","no","","0","Lower-priority member of semantic cluster led by row 979 (Champion: 'OSX build')"
"P-LINCS","P-LINCS","A parallel version of the LINCS constraint algorithm","algorithm","yes","68,101,108,230,339,399,401,411,412,589","12","Lower-priority member of semantic cluster led by row 981 (Champion: 'P-LINCS')"
"Particle-Particle Particle-Mesh with Analytical Differentiation","P3M-AD","A long-range electrostatics method similar to PME","algorithm|method","no","","0","Lower-priority member of semantic cluster led by row 983 (Champion: 'P3M-AD')"
"package_source target","package_source","A CPack target that builds a source package for release","software","no","","0","Lower-priority member of semantic cluster led by row 985 (Champion: 'package_source target')"
"pairlist buffer on Intel GPUs","Fix too small pairlist buffer on Intel GPUs","A fix for a too-small pairlist buffer on Intel GPUs, which assumed a 4x4 instead of 4x2 atom-cluster pair kernel","software","yes","828","1","Lower-priority member of semantic cluster led by row 987 (Champion: 'pairlist buffer on Intel GPUs')"
"Parrinello-Rahman and md-vv checkpoints","Fix checkpoint restarts using Parrinello-Rahman and md-vv","A fix to allow reading checkpoints created with these methods in the modular simulator","software","yes","827","1","Lower-priority member of semantic cluster led by row 989 (Champion: 'Parrinello-Rahman and md-vv checkpoints')"
"Parrinello-Rahman coupling","Parrinello-Rahman coupling","A method for pressure control that allows for box shape changes","method|algorithm","yes","53,202,393,742,751,857","8","Lower-priority member of semantic cluster led by row 991 (Champion: 'Parrinello-Rahman coupling')"
"Parrinello-Rahman coupling","Parrinello-Rahman coupling","A method for pressure control in molecular dynamics simulations","method|algorithm","yes","53,202,393,742,751,857","8","Lower-priority member of semantic cluster led by row 991 (Champion: 'Parrinello-Rahman coupling')"
"Topology generation utility","pdb2gmx","GROMACS program to build a topology from a structure file","software","no","","0","Lower-priority member of semantic cluster led by row 995 (Champion: 'pdb2gmx')"
"Persistence length","persistence length","A measure of the stiffness of a polymer chain","measure","yes","250","3","Lower-priority member of semantic cluster led by row 996 (Champion: 'Persistence length')"
"PLUMED","PLUMED","A plugin for free energy calculations in molecular systems","software","yes","7,33,226,228,557,695,722,723,782","34","Lower-priority member of semantic cluster led by row 999 (Champion: 'PLUMED')"
"Particle Mesh Ewald (PME)","PME","An efficient grid-based version of the Ewald summation method","algorithm|method","no","","0","Lower-priority member of semantic cluster led by row 1001 (Champion: 'Particle-mesh Ewald')"
"PME decomposition","PME decomposition","A feature to offload PME calculations to multiple GPUs","method|algorithm","yes","9,23,112,346,413,713,764,765,770,781,787","15","Lower-priority member of semantic cluster led by row 1004 (Champion: 'PME decomposition')"
"PME decomposition","PME decomposition","A feature to offload PME calculations to multiple GPUs, now with CUDA and SYCL support","method|algorithm","yes","9,23,112,346,413,713,764,765,770,781,787","15","Lower-priority member of semantic cluster led by row 1004 (Champion: 'PME decomposition')"
"PME decomposition","PME decomposition","A feature to offload PME calculations to multiple GPUs, now with support for CUDA and SYCL backends","method|algorithm","yes","9,23,112,346,413,713,764,765,770,781,787","15","Lower-priority member of semantic cluster led by row 1004 (Champion: 'PME decomposition')"
"PME forces with FE","Actually fix PME forces with FE without perturbed q/LJ","A fix for incorrectly ignoring mesh forces on non-perturbed atoms in certain FE scenarios","software","yes","826,836","2","Lower-priority member of semantic cluster led by row 1006 (Champion: 'PME forces with FE')"
"PME forces with FE","Actually fix PME forces with FE without perturbed q/LJ","A fix for incorrectly ignoring PME mesh forces on non-perturbed atoms in certain FE scenarios","software","yes","826,836","2","Lower-priority member of semantic cluster led by row 1006 (Champion: 'PME forces with FE')"
"PME long-ranged interaction GPU offload","PME long-ranged interaction GPU offload now available with OpenCL","A feature to offload PME calculations to the GPU using OpenCL on all supported vendors","method|software","yes","849","1","Lower-priority member of semantic cluster led by row 1009 (Champion: 'PME long-ranged interaction GPU offload')"
"PME Mixed mode","PME Mixed mode","A PME execution mode that has been disabled for FEP simulations","method","yes","800,867","2","Lower-priority member of semantic cluster led by row 1012 (Champion: 'PME Mixed mode')"
"PME on GPU with charge-free FEP","PME on GPU when running free energy perturbations not involving charges","A feature to run PME on the GPU for certain free energy calculations","method","no","","0","Lower-priority member of semantic cluster led by row 1013 (Champion: 'PME on GPU with charge-free FEP')"
"PME OpenCL on Apple","Disable PME OpenCL on Apple","A fix to disable OpenCL PME on Apple platforms due to a compiler bug","software","yes","841","1","Lower-priority member of semantic cluster led by row 1015 (Champion: 'PME OpenCL on Apple')"
"Polarizable water","polarizable water","Water models that can respond to an electric field by changing their dipole moment","model","yes","284","1","Lower-priority member of semantic cluster led by row 1017 (Champion: 'Polarizable water')"
"Position Restraints","position_restraints","Forces applied to keep atoms near specified reference positions","model","yes","43,45,50,53,66,67,127,200,201,202,248,315,318,340,374,415,432,433,434,485,488,509,538,719,724,754,801,804,876,883,889,896","49","Lower-priority member of semantic cluster led by row 1020 (Champion: 'Position restraints')"
"Potential of Mean Force","PMF","The free energy profile along one or more coordinates","measure|model","yes","6,7,151,305,355,509,510,538","11","Lower-priority member of semantic cluster led by row 1022 (Champion: 'Potential of Mean Force')"
"PQR formatting","Fix PQR formatting","A fix for incorrect formatting in tools that use PQR files","data format","yes","843","1","Lower-priority member of semantic cluster led by row 1023 (Champion: 'PQR formatting')"
"FFTW with clang and AVX-512","Prevented internal build of FFTW with clang and AVX-512 SIMD","A fix to prevent the internal FFTW build from attempting an unsupported compilation","software","yes","845","1","Lower-priority member of semantic cluster led by row 1026 (Champion: 'FFTW with clang and AVX-512 SIMD')"
"Principal axes of inertia","principal axes of inertia","The three mutually orthogonal axes about which the moment of inertia is maximized","measure","yes","130,131,253,316,321","6","Lower-priority member of semantic cluster led by row 1027 (Champion: 'Principal axes of inertia')"
"Principal components","pi(t)","The projection of the trajectory onto the principal modes","measure","yes","133,136,139,250,573,574,594","10","Lower-priority member of semantic cluster led by row 1029 (Champion: 'Principal Components')"
"Progressive fit","progressive","A trajectory fitting method where each frame is fitted to the previously fitted frame","method","yes","292","1","Lower-priority member of semantic cluster led by row 1031 (Champion: 'Progressive fit')"
"Pull enable","pull","An mdp option to turn on pulling","identifier","no","","0","Lower-priority member of semantic cluster led by row 1033 (Champion: 'COM pulling')"
"Pull code","pull code","A GROMACS feature for applying external forces or moving groups of atoms","method|software","yes","7,82,355,490,509,510,538,734,813,819,820,871,902,909,912","24","Lower-priority member of semantic cluster led by row 1036 (Champion: 'Pull code')"
"pull group index handling","Fix pull group index handling","A fix for incorrect validation of pull group indices in grompp","software","yes","820","1","Lower-priority member of semantic cluster led by row 1037 (Champion: 'pull group index handling')"
"pull-fout-average","pull-fout-average","A new option to output average pull forces","identifier","yes","71,849","2","Lower-priority member of semantic cluster led by row 1039 (Champion: 'pull-fout-average')"
"pull-pbc-ref-from-prev-step-com","pull-pbc-ref-from-prev-step-com","An option to use the COM of the previous step as a PBC reference in pulling","identifier","yes","848","1","Lower-priority member of semantic cluster led by row 1041 (Champion: 'pull-pbc-ref-from-prev-step-com')"
"pull-xout-average","pull-xout-average","A new option to output average pull positions","identifier","yes","71,849","2","Lower-priority member of semantic cluster led by row 1043 (Champion: 'pull-xout-average')"
"Pull coordinate trajectory","pullx.xvg","The output file containing the time series of the reaction coordinate","data format","no","","0","Lower-priority member of semantic cluster led by row 1046 (Champion: 'pullx.xvg')"
"pybind11 dependency","pybind11 dependency","The pybind11 library is no longer bundled and must be provided externally","software","yes","794","1","Lower-priority member of semantic cluster led by row 1047 (Champion: 'pybind11 dependency')"
"Quantum corrections","quantum corrections","Corrections to classical simulations to account for quantum effects, e.g., on heat capacity","method","yes","235,236,237","3","Lower-priority member of semantic cluster led by row 1049 (Champion: 'Quantum corrections')"
"Quartic angle potential","Quartic angle potential","An angle potential using a fourth-order polynomial","model","yes","426","1","Lower-priority member of semantic cluster led by row 1052 (Champion: 'Quartic angle potential')"
"Residue name translation file","r2b","Translates residue names between different force fields","data format|data source","no","","0","Lower-priority member of semantic cluster led by row 1054 (Champion: 'Residue to building block map file')"
"Radial distribution function (RDF)","radial distribution functions","A function that describes how density varies as a function of distance from a reference particle","measure","yes","561,564","2","Lower-priority member of semantic cluster led by row 1055 (Champion: 'Radial distribution function (RDF)')"
"Radius of gyration","Radius of gyration","A measure of the compactness of a structure","measure","yes","8,127,130,204,205,250,315,317,320,359,571,576","17","Lower-priority member of semantic cluster led by row 1058 (Champion: 'Radius of gyration')"
"Radius of gyration","radius of gyration","A measure of the size of a molecule or group of atoms","measure","yes","8,127,130,204,205,250,315,317,320,359,571,576","17","Lower-priority member of semantic cluster led by row 1058 (Champion: 'Radius of gyration')"
"RAII","RAII","Resource Acquisition Is Initialization, a C++ programming technique for resource management","method","yes","670","1","Lower-priority member of semantic cluster led by row 1060 (Champion: 'RAII')"
"Ramachandran plot","Ramachandran plot","A plot of the backbone dihedral angles φ and ψ of a protein","data format","yes","148,576,577","4","Lower-priority member of semantic cluster led by row 1062 (Champion: 'Ramachandran plot')"
"RDCYCLE","RDCYCLE","A deprecated instruction on RISC-V to read the cycle counter","software","yes","752","2","Lower-priority member of semantic cluster led by row 1065 (Champion: 'RDCYCLE')"
"RDRAND on Ryzen","Added workaround for RDRAND not always returning random numbers on Ryzen","A workaround for a hardware bug in the random number generator on some AMD CPUs","software","no","","0","Lower-priority member of semantic cluster led by row 1066 (Champion: 'RDRAND on Ryzen')"
"RDTIME","RDTIME","An instruction on RISC-V to read the time counter","software","yes","752","2","Lower-priority member of semantic cluster led by row 1069 (Champion: 'RDTIME')"
"RDTSCP on x86","Only check for RDTSCP on x86 platforms","A change to only check for this instruction on relevant platforms","software","yes","822","1","Lower-priority member of semantic cluster led by row 1070 (Champion: 'RDTSCP on x86')"
"Real space","real space","The direct, coordinate-space representation of the simulation box","model","yes","110,297,298,595","4","Lower-priority member of semantic cluster led by row 1072 (Champion: 'Real space')"
"Reciprocal space","reciprocal space","The Fourier-space representation of the simulation box, used in Ewald methods","model","yes","59,61,63,249,298,420,455,458,459,460","18","Lower-priority member of semantic cluster led by row 1074 (Champion: 'Reciprocal space')"
"Relocatable binaries","Relocatable binaries","The ability for installed GROMACS binaries to be moved to a different location and still function","software","yes","9,647,648,658,659,660","8","Lower-priority member of semantic cluster led by row 1076 (Champion: 'Relocatable binaries')"
"Replica Exchange","Replica exchange","A simulation method that exchanges temperatures between replicas","method|algorithm","yes","7,82,96,103,231,407,408,409,508,557,589,775,821,827,828,841,912,913","32","Lower-priority member of semantic cluster led by row 1079 (Champion: 'Replica exchange')"
"report-methods","Implement writing of LaTeX methods in report-methods","A new tool to generate a summary of simulation methods","software","yes","5,129,257,316,320,850","9","Lower-priority member of semantic cluster led by row 1080 (Champion: 'report-methods')"
"ResourceManager","ResourceManager","A gmxapi component for managing resources in MPI-based ensemble simulations","software","yes","796","2","Lower-priority member of semantic cluster led by row 1083 (Champion: 'ResourceManager')"
"Restraint module for gmxapi","Restraint module for gmxapi MD extension code","New functionality for registering externally compiled MD extensions at runtime","software","yes","849","1","Lower-priority member of semantic cluster led by row 1084 (Champion: 'Restraint module for gmxapi')"
"Restraint lambda vector","restraint-lambdas","An mdp keyword for lambda values for restraint interactions","identifier|measure","no","","0","Lower-priority member of semantic cluster led by row 1087 (Champion: 'Restraint lambdas')"
"Restricted bending potential","restricted bending potential","A potential used to restrict the bending of an angle","model","yes","424,430,480,770","11","Lower-priority member of semantic cluster led by row 1088 (Champion: 'Restricted bending potential')"
"rho similarity parameter","rho similarity parameter","A size-independent measure of structural similarity","measure","yes","257","1","Lower-priority member of semantic cluster led by row 1090 (Champion: 'rho similarity parameter')"
"ROCm","ROCm","AMD's open-source software platform for GPU computing","software","yes","2,13,14,19,20,22,23,29,30,31,38,39,114,115,649,695,729,757,763,862","34","Lower-priority member of semantic cluster led by row 1092 (Champion: 'ROCm')"
"Root Mean Square Deviation (RMSD)","root mean square deviation (RMSD)","A measure of the average distance between the atoms of superimposed structures","measure","yes","156,257","2","Lower-priority member of semantic cluster led by row 1094 (Champion: 'Root Mean Square Deviation (RMSD)')"
"Root Mean Square Fluctuation (RMSF)","root mean square fluctuation (RMSF)","A measure of the deviation of an atom's position from its average position","measure","no","","0","Lower-priority member of semantic cluster led by row 1096 (Champion: 'Root Mean Square Fluctuation (RMSF)')"
"Rotation matrix","rotation matrix","A matrix that describes the rotation of an object in a 3D space","model","yes","130,264,316,320,438,525,573,783","11","Lower-priority member of semantic cluster led by row 1100 (Champion: 'Rotation matrix')"
"Rotation matrix","rotation matrix","A matrix that describes the rotation of an object in a 3D space","model","yes","130,264,316,320,438,525,573,783","11","Lower-priority member of semantic cluster led by row 1100 (Champion: 'Rotation matrix')"
"Rotational correlation function","rotational correlation function","A function that describes the time correlation of a molecule's orientation","measure","yes","130,263,316,320","6","Lower-priority member of semantic cluster led by row 1101 (Champion: 'Rotational correlation function')"
"Rotational kinetic energy","translational and rotational kinetic energy","The kinetic energy associated with the rotational motion of a group","measure","yes","287,756","3","Lower-priority member of semantic cluster led by row 1103 (Champion: 'Rotational kinetic energy')"
"rotational kinetic energy","rotational kinetic energy","The kinetic energy associated with the rotation of molecules","measure","yes","287,756","3","Lower-priority member of semantic cluster led by row 1103 (Champion: 'Rotational kinetic energy')"
"RPATH","RPATH","A path embedded in an executable that specifies where to find shared libraries","identifier","yes","647,659,741,883","11","Lower-priority member of semantic cluster led by row 1106 (Champion: 'RPATH')"
"Salt bridge","salt bridges","A non-covalent interaction between two oppositely charged residues","chemical entity","yes","571","1","Lower-priority member of semantic cluster led by row 1108 (Champion: 'Salt bridge')"
"SANS intensity","SANS intensity","The scattering intensity as a function of the scattering vector q for SANS","measure","yes","267","2","Lower-priority member of semantic cluster led by row 1110 (Champion: 'SANS intensity')"
"Scattering intensity","scattering intensity","The intensity of scattered radiation as a function of the scattering angle","measure","yes","271","2","Lower-priority member of semantic cluster led by row 1112 (Champion: 'Scattering intensity')"
"Schedules and triggers","Schedules and triggers","Mechanisms for running GitLab CI pipelines automatically or on-demand","process","yes","690","1","Lower-priority member of semantic cluster led by row 1114 (Champion: 'Schedules and triggers')"
"scripted_gmx_docker_builds.py","scripted_gmx_docker_builds.py","A script for generating Dockerfiles for GROMACS CI testing images","software","yes","694,696,698","7","Lower-priority member of semantic cluster led by row 1116 (Champion: 'scripted_gmx_docker_builds.py')"
"SETTLE algorithm","SETTLE","An analytical and fast constraint algorithm for rigid water models","algorithm","yes","399,404,470","3","Lower-priority member of semantic cluster led by row 1118 (Champion: 'SETTLE')"
"SHAKE algorithm","SHAKE","An iterative algorithm for satisfying bond constraints","algorithm","yes","397,444,470,511,589","5","Lower-priority member of semantic cluster led by row 1120 (Champion: 'SHAKE')"
"Shear viscosity","shear viscosity","A measure of a fluid's resistance to shear stress","measure","yes","190,285,541,569,593,594","8","Lower-priority member of semantic cluster led by row 1122 (Champion: 'Shear viscosity')"
"Shear viscosity","η","A measure of a fluid's resistance to shear stress","measure","yes","190,285,541,569,593,594","8","Lower-priority member of semantic cluster led by row 1122 (Champion: 'Shear viscosity')"
"Sigma and epsilon","sigma and epsilon","Parameters for the Lennard-Jones potential representing atomic size and interaction strength","model","yes","278,859","2","Lower-priority member of semantic cluster led by row 1125 (Champion: 'Sigma and epsilon')"
"Simple Point Charge (SPC) water","Simple Point Charge water (SPC)","A commonly used 3-site rigid water model","model","no","","0","Lower-priority member of semantic cluster led by row 1127 (Champion: 'Simple Point Charge (SPC) water')"
"Single histogram analysis method","single histogram analysis method","A reweighting method to calculate properties at different state points from a single simulation","method","yes","276","1","Lower-priority member of semantic cluster led by row 1129 (Champion: 'Single histogram analysis method')"
"skewed box with modular simulator","Correct skewed box using modular simulator without DD","A fix to check for overly skewed boxes when using the modular simulator without domain decomposition","software","no","","0","Lower-priority member of semantic cluster led by row 1131 (Champion: 'skewed box with modular simulator')"
"Solvation free energy","solvation free energies","The free energy change associated with transferring a molecule from vacuum to solvent","measure","yes","269,270,335","3","Lower-priority member of semantic cluster led by row 1133 (Champion: 'Solvation free energy')"
"Solvent Accessible Surface Area (SASA)","solvent accessible surface areas","The surface area of a biomolecule that is accessible to a solvent","measure","no","","0","Lower-priority member of semantic cluster led by row 1135 (Champion: 'Solvent Accessible Surface Area (SASA)')"
"Source tree checker scripts","Source tree checker scripts","A set of Python scripts for checking source code consistency and documentation","software","yes","9,651,662,664,678,699","8","Lower-priority member of semantic cluster led by row 1137 (Champion: 'Source tree checker scripts')"
"Sparc64 HPC-ACE","Sparc64 HPC-ACE","A Fujitsu CPU architecture, a deprecated platform","software","yes","793","1","Lower-priority member of semantic cluster led by row 2298 (Champion: 'Sparc64 HPC ACE')"
"Sparc64 HPC-ACE","Sparc64 HPC-ACE","A removed Fujitsu CPU architecture","software","yes","793","1","Lower-priority member of semantic cluster led by row 2298 (Champion: 'Sparc64 HPC ACE')"
"Spatial Distribution Function (SDF)","spatial distribution function","A function that describes the 3D density distribution of a group of atoms","measure","no","","0","Lower-priority member of semantic cluster led by row 1141 (Champion: 'Spatial Distribution Function (SDF)')"
"Special targets","Special targets","CMake targets for performing specific developer or CI tasks","software","yes","9,650,651","3","Lower-priority member of semantic cluster led by row 1143 (Champion: 'Special targets')"
"splitat","splitat","An option in gmx make_ndx to split atoms into separate index groups","identifier","yes","752","1","Lower-priority member of semantic cluster led by row 1146 (Champion: 'splitat')"
"splitres","splitres","An option in gmx make_ndx to split residues into separate index groups","identifier","yes","752","3","Lower-priority member of semantic cluster led by row 1148 (Champion: 'splitres')"
"Splitting parameter","splitting parameter","A parameter (ewald_beta) that divides the Ewald sum into real and reciprocal space parts","model","yes","249","2","Lower-priority member of semantic cluster led by row 1149 (Champion: 'Splitting parameter')"
"sPME algorithm","sPME algorithm","The smooth Particle Mesh Ewald algorithm for electrostatics","algorithm","yes","249","1","Lower-priority member of semantic cluster led by row 1614 (Champion: 'Smooth PME')"
"sPME algorithm","sPME algorithm","The smooth Particle Mesh Ewald algorithm for electrostatics","algorithm","yes","249","1","Lower-priority member of semantic cluster led by row 1614 (Champion: 'Smooth PME')"
"ssh key","ssh key","A cryptographic key pair used for secure authentication with gitlab","identifier","yes","653,693","2","Lower-priority member of semantic cluster led by row 1153 (Champion: 'ssh key')"
"Standard Entropy","Standard Entropy","The entropy content of one mole of substance under standard state conditions","measure","yes","236,850","2","Lower-priority member of semantic cluster led by row 1155 (Champion: 'Standard Entropy')"
"static_assert","static_assert","A C++ feature to perform assertions at compile time","software","yes","673,674","2","Lower-priority member of semantic cluster led by row 1157 (Champion: 'static_assert')"
"Stochastic cell rescaling barostat","Stochastic cell rescaling barostat","A first-order stochastic barostat for equilibration and production","method|algorithm","yes","807,808","3","Lower-priority member of semantic cluster led by row 1161 (Champion: 'Stochastic cell rescaling barostat')"
"Stochastic cell rescaling barostat","Stochastic cell rescaling barostat","A first-order stochastic barostat for which implementation has been added","method|algorithm","yes","807,808","3","Lower-priority member of semantic cluster led by row 1161 (Champion: 'Stochastic cell rescaling barostat')"
"Stochastic cell rescaling barostat","Stochastic cell rescaling barostat","A first-order stochastic barostat that has been implemented for equilibration and production","method|algorithm","yes","807,808","3","Lower-priority member of semantic cluster led by row 1161 (Champion: 'Stochastic cell rescaling barostat')"
"Stochastic Dynamics","Stochastic Dynamics","A simulation method that includes random forces to mimic solvent effects","method","yes","6,53,111,226,363,397,402,821,883","11","Lower-priority member of semantic cluster led by row 1163 (Champion: 'Stochastic Dynamics')"
"Stochastic Dynamics","Stochastic Dynamics","A simulation method that includes friction and random noise","method|algorithm","yes","6,53,111,226,363,397,402,821,883","11","Lower-priority member of semantic cluster led by row 1163 (Champion: 'Stochastic Dynamics')"
"Stochastic Dynamics integrator","sd","An integrator that includes random forces and friction","algorithm","yes","53,883","2","Lower-priority member of semantic cluster led by row 1166 (Champion: 'Stochastic Dynamics integrator')"
"Style guidelines","Style guidelines","Rules and conventions for code formatting and naming in GROMACS","process","yes","9,653,663,664,665,666,667,668,669,670,671,672,673,674","16","Lower-priority member of semantic cluster led by row 1168 (Champion: 'Style guidelines')"
"subgraph","gmxapi.subgraph","A gmxapi function to create a subgraph context for staging operations","software","yes","613,614,619","29","Lower-priority member of semantic cluster led by row 1170 (Champion: 'Subgraph')"
"Swap coordinates","swapcoords","An mdp option specifying the direction of ion swaps in CompEL","identifier","no","","0","Lower-priority member of semantic cluster led by row 106 (Champion: 'Computational Electrophysiology')"
"SYCL","SYCL","A higher-level programming model for heterogeneous computing","software|method","yes","3,13,14,16,18,19,20,22,23,28,29,30,32,97,98,102,103,111,112,114,115,343,344,345,346,648,670,722,724,727,729,748,756,759,762,763,764,765,768,770,784,791,807","90","Lower-priority member of semantic cluster led by row 1174 (Champion: 'SYCL')"
"Pressure coupling time constant","tau-p","The time constant for the barostat","measure","no","","0","Lower-priority member of semantic cluster led by row 1176 (Champion: 'tau-p')"
"tau-p","tau-p","The time constant for pressure coupling, with a changed default value","measure","yes","65,66,124,499,749,857,898","13","Lower-priority member of semantic cluster led by row 1176 (Champion: 'tau-p')"
"Amino acid termini file","tdb","Contains information for building polypeptide termini","data format|data source","no","","0","Lower-priority member of semantic cluster led by row 1179 (Champion: 'Termini database')"
"temperature calculation with partial COM removal","Fix temperature calculation when center of mass motion is removed for part of the system","A fix for incorrectly lowered degrees of freedom in this uncommon case","software","no","","0","Lower-priority member of semantic cluster led by row 1180 (Champion: 'temperature calculation with partial COM removal')"
"Termini","ter","The N- and C-terminal ends of a polypeptide chain","chemical entity","yes","246,247,248,473,475,476,477,492,493,502,869,876","17","Lower-priority member of semantic cluster led by row 1182 (Champion: 'Termini')"
"Test Particle Insertion","tpi","A method to calculate the chemical potential","method","yes","54,57,59,226,348,726,780,790","11","Lower-priority member of semantic cluster led by row 1185 (Champion: 'Test particle insertion')"
"test particle insertion","test particle insertion","A method for calculating chemical potential by inserting a test particle","method","yes","54,57,59,226,348,726,780,790","11","Lower-priority member of semantic cluster led by row 1185 (Champion: 'Test particle insertion')"
"test target","test","A CTest target that runs registered tests without building them","software","yes","664,708","3","Lower-priority member of semantic cluster led by row 1187 (Champion: 'test target')"
"tests target","tests","A build target that builds all test binaries","software","yes","641,650","2","Lower-priority member of semantic cluster led by row 1189 (Champion: 'tests target')"
"Tetrahedrality order parameter","tetrahedrality order parameters","A measure of the local tetrahedral arrangement of atoms, e.g., around a water molecule","measure","no","","0","Lower-priority member of semantic cluster led by row 1191 (Champion: 'Tetrahedrality order parameter')"
"LaTeX input file","tex","A file format for use with the LaTeX typesetting system","data format","no","","0","Lower-priority member of semantic cluster led by row 1193 (Champion: 'LaTeX file')"
"Thermodynamic Integration","Thermodynamic Integration","A method to calculate free energy differences by integrating dH/dλ","method","yes","84,407,509","3","Lower-priority member of semantic cluster led by row 1195 (Champion: 'Thermodynamic Integration')"
"Thermostat","tcoupl","The algorithm used for temperature control (thermostat)","identifier|algorithm","yes","49,53,64,65,67,338,386,387,388,389,392,393,401,402,495,542,738,761,775,821,830,913","43","Lower-priority member of semantic cluster led by row 1197 (Champion: 'Thermostat')"
"tinyxml2 linking","Fix error with tinyxml2 linking","A fix for an incorrect signature for linking this external library","software","yes","824","1","Lower-priority member of semantic cluster led by row 1199 (Champion: 'tinyxml2 linking')"
"Topology","Topology","An object representing the complete system topology","software","yes","6,42,43,44,47,48,49,50,53,54,58,68,70,80,81,83,108,109,110,117,118,119,120,121,122,124,125,127,146,147,159,180,181,185,193,199,200,201,202,203,208,226,227,228,246,247,254,255,256,267,270,273,279,295,310,311,316,317,318,324,335,341,350,351,353,354,356,357,358,371,376,382,410,423,425,426,427,431,434,435,437,440,441,454,464,465,466,467,468,469,470,471,473,478,479,480,481,482,483,484","293","Lower-priority member of semantic cluster led by row 1202 (Champion: 'Topology')"
"Translational kinetic energy","translational and rotational kinetic energy","The kinetic energy associated with the center-of-mass motion of a group","measure","no","","0","Lower-priority member of semantic cluster led by row 1103 (Champion: 'Rotational kinetic energy')"
"Translational kinetic energy","translational and rotational kinetic energy","The kinetic energy associated with the center-of-mass motion of a group","measure","no","","0","Lower-priority member of semantic cluster led by row 1103 (Champion: 'Rotational kinetic energy')"
"Transverse current autocorrelation","tranverse current autocorrelations","The autocorrelation function of the transverse component of the current","measure","yes","568","2","Lower-priority member of semantic cluster led by row 1205 (Champion: 'Transverse current autocorrelation')"
"trigger-post-merge.py","trigger-post-merge.py","A script for manually triggering post-merge acceptance pipelines","software","yes","690,694","3","Lower-priority member of semantic cluster led by row 1207 (Champion: 'trigger-post-merge.py')"
"trilinic DD code","Fix type bug in trilinic DD code","A bug fix for an issue with off-diagonal elements in domain decomposition","software","yes","850","1","Lower-priority member of semantic cluster led by row 1209 (Champion: 'trilinic DD code')"
"trjconv","gmx trjconv","A tool for converting and manipulating trajectory files","software","yes","5,50,95,128,151,181,185,264,282,292,293,316,319,332,337,357,359,360,372,497,740,788,790,811,832,833,847,848,851,857,862,865,875,894,896","64","Lower-priority member of semantic cluster led by row 1212 (Champion: 'trjconv')"
"trjconv -ndec","Fix trjconv -ndec","A fix to make the option work correctly with .gro files","software","yes","847,857,865","3","Lower-priority member of semantic cluster led by row 1214 (Champion: 'trjconv -ndec')"
"PME (Particle Mesh Ewald)","tune_pme","An efficient method for calculating long-range electrostatic interactions","algorithm|method","no","","0","Lower-priority member of semantic cluster led by row 1216 (Champion: 'tune_pme')"
"tune_pme","Fix tune_pme","A fix for a file reading error in the tool","software","yes","5,36,102,106,116,129,297,298,317,319,348,456,738,847,894,899","30","Lower-priority member of semantic cluster led by row 1216 (Champion: 'tune_pme')"
"undefined NB kernel types","Fix possible issue with picking undefined NB kernel types","A fix for missing definitions for specific CPU reference NB kernel types","software","yes","829","1","Lower-priority member of semantic cluster led by row 1218 (Champion: 'undefined NB kernel types')"
"Unit-cell representation","Unit-cell representation","The way the periodic box is represented (e.g., rectangular, triclinic)","model","yes","294,372","2","Lower-priority member of semantic cluster led by row 1220 (Champion: 'Unit-cell representation')"
"update groups","Implemented update groups","A performance improvement based on grouping atoms with update dependencies","method|algorithm","yes","108,347,409,411,412,413,772,802,848,849","22","Lower-priority member of semantic cluster led by row 1222 (Champion: 'Update groups')"
"update groups","Implemented update groups","A performance improvement based on grouping atoms with update dependencies","method|algorithm","yes","108,347,409,411,412,413,772,802,848,849","22","Lower-priority member of semantic cluster led by row 1222 (Champion: 'Update groups')"
"Updating regression tests","Updating regression tests","The process for updating the regression test suite in conjunction with code changes","process","yes","689,691","3","Lower-priority member of semantic cluster led by row 1225 (Champion: 'Updating regression tests')"
"Urey-Bradley potential","Urey-Bradley","An angle potential that includes a 1-3 non-bonded interaction term","model","yes","425","1","Lower-priority member of semantic cluster led by row 1228 (Champion: 'Urey-Bradley potential')"
"van der Waals radii","van der Waals radii","The radius of an imaginary hard sphere representing an atom","measure","yes","146,185,195,218,219,279,280","10","Lower-priority member of semantic cluster led by row 1229 (Champion: 'van der Waals radii')"
"Velocity Verlet integrators","Velocity Verlet integrators output energy averages from correct steps","A fix for how energy averages were accumulated for this integrator type","algorithm|integrator","yes","65,66,383,397,850","6","Lower-priority member of semantic cluster led by row 1231 (Champion: 'Velocity Verlet integrators')"
