"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count"
"space group","group","A description of the symmetry of a crystal structure.","model|identifier","yes","5346,5351,5355,5359,5363,5367,12119,12725,12736,12741,12745,12753,18654,18805,19353,19448,22974,24332,33307,43684,43702,43710,43814,43819,43827,48009","37"
"asymmetric unit","mask","The smallest part of a crystal from which the whole is generated.","model|chemical entity","yes","214,272,423,431,587,596,601,605,613,629,832,970,1269,1546,1550,1692,1716,1827,1836,1894,1904,1930,1987,2001,2008,2334,2388,2389,2421,2572,2576,2608,2611,2668,2717,2720,2749,6965,7019,7023,7129,7170,7719,7758,7781,7789,8330,8505,8548,8564,8574,8652,8686,8790,9020,10014,10147,10938,10979,12472,12500,12512,13248,13252,13257,13262,13435,13439,13450,14586,14607,14654,14688,14701,14807,14828,14943,14947,14951,14955,14959,14976,15045,15053,15065,15073,15085,15110,15123,15155,15169,15177,15289,15326,15380,15405,15427,15549,15574,15640","517"
"autocorr","autocorr","An analysis command to calculate autocorrelation for data sets.","analysis|method","yes","43985,45424,45428","3"
"auto-covariance","nocovar","A measure of the covariance of a signal with itself at different time lags.","measure","yes","45432,45496,45521,48622,48669","5"
"Fast Fourier Transform","FFT","An algorithm to compute the discrete Fourier transform and its inverse.","algorithm","yes","27674,28116,29324,43157,44478,44487,49712,49716,49778,50627,55032,55532","14"
"avg","avg","An analysis command to calculate average and other statistics for data sets.","analysis|method","yes","4678,4971,5009,6359,6367,6371,12268,12301,12302,24447,24480,26052,26188,31539,33089,33115,33119,37189,37209,37532,37672,37677,39471,42444,42482,42707,44014,45527,45531,45587,45652,47448,47485,47636,47642,47961,47972,48520,49435,51053,51176,51338,51352,51371,51382,53974,53978,55885,55907","50"
"standard deviation","sd","A measure of the amount of variation or dispersion of a set of values.","measure","yes","4689,12869,12954,12958,26060,26145,33256,33500,37215,39483,43490,44023,45591,45623,45632,47414,47636,47642,48078,52460,52465,52470,54362,54686","34"
"calcdiffusion","calcdiffusion","An analysis command to calculate diffusion from multiple time origins.","analysis|method","yes","1153,1159,1225,26611,26617,44043,45656,45659,45667,45813,45887,45925","12"
"OpenMP","OpenMP","An API for shared-memory parallel programming.","software","yes","126,156,997,1002,1006,1007,1009,1185,1200,1202,1206,1211,1213,1329,1334,12676,12753,12769,12770,12771,12772,45850,45892,45913,53812","28"
"MPI","MPI","Message Passing Interface, a standard for parallel computing.","software","yes","126,128,167,866,996,997,1000,1006,1007,1014,1029,1038,1115,1130,1131,1133,1149,1170,1174,1179,9794,12601,12603,12604,12676,12769,12770,12771,13128,18016,18272,18278,18347,26264,26457,26481,26484,45850,45854,45891,45892,45913,50030","46"
"calcstate","calcstate","An analysis command to define and analyze conformational states from data.","analysis|method","yes","12166,12170,44072,45929,45933,46185,46319","7"
"lifetime curve","curveout","A plot showing the survival probability of a state over time.","measure|analysis","yes","45942,46026,46138,46143,46185,51248,51259,54502,54585,54725","10"
"cluster","cluster","An analysis command to perform cluster analysis on frames or data.","analysis|method","yes","1237,3905,3952,6261,25472,25478,25484,25522,25555,25557,25561,25566,25584,25594,25603,25810,25852,25920,44101,44110,46441,46445,46449,46454,46622,46649,46653,46668,46680,46685,46787,46795,46842,47238,47250,47259,47269,47281,47326,47332,47337,47364,47375,47377,47388,47398,47402,47406,47410,47414,47418,47426,47435,47448,47472,47486,47489,47490,47491,47495,47503,47504,47517,47521,47525,47545,47551,47596,47597,47607,47667,47675,47679,47687,47717,47718,47756,47783,47784,47817,47845,47874,47884,47891,47896,47933,47941,47949,47957,47971,47976,47988,47989,47997,48015,48020,48032,48037,48044,48049","141"
"hierarchical agglomerative clustering","hieragglo","A bottom-up clustering method where each observation starts in its own cluster.","algorithm","yes","46480,46484,46694,47297","4"
"DBSCAN","dbscan","A density-based clustering algorithm that groups together points that are closely packed.","algorithm","yes","46480,46492,46766,46803,47277,47290,47291,47314,47370,47379,48167,48178,48189,55699","15"
"k-means clustering","kmeans","A method of vector quantization that aims to partition n observations into k clusters.","algorithm","yes","46480,46496,46959,47297","5"
"density peaks clustering","dpeaks","A clustering method based on identifying cluster centers as high-density peaks.","algorithm","yes","46480,46500,46817,47277,47290,47291,47314,48206,48210","9"
"Root Mean Square Deviation","rms","A measure of the average distance between atoms of superimposed structures.","measure","yes","805,823,2106,2110,2114,2146,6341,6375,6379,7014,7035,7084,7158,7781,7789,7826,10661,11826,12833,18491,18503,19259,20102,20108,20127,22215,23686,23688,23782,23794,23833,23924,24339,24387,24403,25772,25777,28613,31493,31518,31531,31565,31594,36618,36685,36689,37456,37467,37482,39131,39886,39930,39999,40003,45104,45137,46520,46597,47010,47024,47817,47827,48189,49946,49948,51583,51861,51865,51869,51873,51994,53257,53277,53315,53351,53775,53789,53798,53967,53978,55542,55673,55764,55836,55869,55881,55896,55907","90"
"symmetry-corrected RMSD","srmsd","An RMSD calculation that accounts for molecular symmetry.","measure|method","yes","22571,41835,46520,47018,47034,47036,47899,52967,53019","10"
"quaternion RMSD","qrmsd","A faster method for calculating RMSD using quaternions.","measure|algorithm","yes","46520,47061,47066,52967,53030","6"
"distance-RMSD","dme","A structural comparison metric based on internal distances rather than coordinates.","measure","yes","46520,47081,47086,47900,52967,53010","7"
"Euclidean distance","euclid","The straight-line distance between two points in Euclidean space.","measure","yes","46520,47100","3"
"Manhattan distance","manhattan","A distance metric calculated as the sum of the absolute differences of coordinates.","measure","yes","46520,47105,47902","3"
"sieve","sieve","A technique in clustering to reduce computation by using a subset of frames.","method|process","yes","46463,46537,46541,47221,47236,47908,48183,48189,48259,48303,48324,48397,48398","13"
"Davies-Bouldin Index","DBI","A metric for evaluating the quality of a clustering algorithm's output.","measure","yes","47456,47486,47853,47984,47991,47994","10"
"pseudo-F statistic","pSF","A metric for determining the number of clusters in a data set.","measure","yes","13876,13885,13894,16221,16600,47460,47486,47487,47857,48002,48015","13"
"SSR/SST","SSRSST","The ratio of sum of squares regression to total sum of squares, a clustering metric.","measure","yes","47464,47487,47861,48025,48041","8"
"cluster silhouette","sil","A measure of how similar an object is to its own cluster compared to others.","measure","yes","46569,47592,47596,47597,47607,48049,48051,48066,48159","9"
"K-dist plot","kdist","A plot used to help determine the epsilon parameter for DBSCAN.","analysis|method","yes","46492,46799,46803,46812,48167,48181,48189,48194,48195,48196,48202,55339,55489,55796","15"
"NetCDF","NetCDF","A set of software libraries and self-describing, machine-independent data formats.","data format","yes","175,3916,3963,3981,17090,17099,17166,18856,19613,19665,28248,39114,48256,48337,48342,52101","16"
"cphstats","cphstats","An analysis command for statistics of constant pH simulation data.","analysis|method","yes","44188,48419,48423,48536,48541,48552,48599","7"
"constant pH simulation","cphstats","A simulation technique that allows protonation states of residues to change.","method|process","yes","44188,48419,48423,48483,48536,48541,48552,48599","8"
"correlation","corr","An analysis command to calculate auto- or cross-correlation of data sets.","analysis|method","yes","10680,11951,11960,20340,23504,23526,23528,26329,34736,38652,42153,43071,43075,43197,44130,44139,45104,45285,45314,45506,45521,45788,48604,48608,48613,48652,48653,48654,48679,48687,48692,48701,48706,48707,48886,49331,49659,50594,50615,50714,50772,50774,50821,51529,51558,51599,51601,51787,51809,51832,52015,52020,52034,52975,53080,53084,53106,53119,53121,53123,53257,53277,53315,53352,53426,53569,53585,53593,53614,53676,53684,53693,53702,53704,53777,53779,53810,53812,53814,53843,53848,53888,53895,53956,53958,53968,54875,54934,54935,54992,55000,55012,55020,55058,55062,55096,55121,55123,55127,55135","108"
"cross-correlation","corr","A measure of similarity of two series as a function of the displacement of one relative to the other.","measure","yes","26329,42153,43071,43075,44130,45314,45788,48604,48608,48613,48654,48692,48707,49659,51529,51558,51599,51787,51809,52020,52034,52975,53080,53119,53121,54935,55121,55127","28"
"Pearson product-moment correlation coefficient","crosscorr","A measure of the linear correlation between two sets of data.","measure","yes","44304,48832,48836","3"
"crankshaft motion","crank","A type of localized conformational transition in a polymer chain.","state|process","yes","44217,44226,48722,48726,48780","5"
"crdfluct","crdfluct","An analysis command to calculate atomic positional fluctuations (RMSF).","analysis|method","yes","44275,48784","2"
"atomic positional fluctuations","crdfluct","A measure of the mobility of individual atoms in a simulation.","measure","yes","6338,23608,23656,23811,44275,48784,48792","7"
"B-factor","bfactor","A value representing the thermal motion of atoms in a crystal structure.","measure","yes","6387,16118,19379,19383,19387,19482,19498,19510,19520,23562,23608,23710,23759,23807,36913,37029,37300,37689,37799,48788,48803,48809,48826","23"
"curvefit","curvefit","An analysis command for non-linear curve fitting of data sets.","analysis|method","yes","44362,48891,48902,49102,49132,52302","6"
"Levenberg-Marquardt algorithm","Levenberg-Marquardt","An iterative algorithm used to solve non-linear least squares problems.","algorithm","no","","0"
"diagmatrix","diagmatrix","An analysis command to diagonalize a matrix, yielding eigenvalues and eigenvectors.","analysis|method","yes","38099,43887,44391,44839,49148,49151,49159,49397,50711,50873,51919,51925,51968,52003,55930,55982","16"
"Principal Component Analysis","PCA","A statistical method to convert observations into linearly uncorrelated principal components.","method|analysis","yes","49271,49272,49327,52604,54876,54880,55829,55847,55946","11"
"Quasiharmonic Analysis","thermo","A method to calculate thermodynamic properties from vibrational frequencies.","method|analysis","yes","49159,49202,49245,49329,49388,49389,49403,52016","9"
"eigenvector","vecs","A non-zero vector that changes at most by a scalar factor when a linear transformation is applied.","measure|model","yes","37899,37903,37907,37911,37995,38003,42974,42986,49163,49238,49266,49397,49431,49435,49447,49455,49459,49467,50873,52003,52042,52056,52074,52554,52562,55930,55982","27"
"eigenvalue","vecs","The factor by which an eigenvector is scaled in a linear transformation.","measure|model","yes","37874,42974,42987,49163,49238,49397,49455,50873,51610,51897,52003,52061,52073,54870,55930,55982","16"
"covariance matrix","mwcovar","A matrix whose element in the i, j position is the covariance between the i-th and j-th elements.","measure|model","yes","11902,11931,11989,12076,34599,34675,34756,34761,34769,34777,34847,34897,49212,49265,49266,49328,49329,49330,49337,49339,49344,49378,49384,49393,51955,51995,51999,55847,55854,55897,55945,55974","32"
"NMWiz","nmwiz","A VMD plugin for visualizing and analyzing normal modes.","software","yes","49167,49276,49280,49302,49311","5"
"cm⁻¹","cm⁻¹","Wavenumber, a unit of frequency often used in spectroscopy.","unit","no","","0"
"Kullback-Leibler divergence","divergence","A measure of how one probability distribution is different from a second.","measure|analysis","yes","44420,44429,44690,49472,49476,49480,50985","11"
"evalplateau","evalplateau","An analysis command to evaluate if a data set has reached a plateau.","analysis|method","yes","44449,49484,49488","3"
"Hausdorff distance","hausdorff","A measure of how far two subsets of a metric space are from each other.","measure|analysis","yes","44507,44516,49783,49794,49818,49827,49839,49861,49897,49905,49913,49918,49921,49929,49930,49949,50007,50092","22"
"parallelanalysis","parallelanalysis","A command to run multiple analyses in parallel using MPI.","process|software","yes","9785,12593,12597,12611,50024,50088","6"
"histogram","hist","A command to create an N-dimensional histogram from data sets.","method|analysis","yes","25956,25993,26011,31430,37504,38697,44536,44545,44661,50103,50107,50112,50263,50363,50376,50383,50387,50999,51005,52350,52358,52362,52370,52378,52386,52394,52412","31"
"free energy","free","An estimation of free energy from bin populations via Boltzmann inversion.","measure|method","yes","22452,41184,41236,50121,50157,50163,50899,50969,52324,52398,52402,54686,54692","14"
"Boltzmann's constant","k_B","A physical constant relating temperature to kinetic energy of particles.","measure|data source","yes","50176","1"
"AMD boost energy","amd","Energy values from Accelerated Molecular Dynamics used for reweighting.","measure|data source","yes","50125,50246,50250,50903,50995,50999","6"
"pseudo-trajectory","traj3d","A trajectory-like file generated from 3D histogram data for visualization.","data format","yes","6063,6079,43037,43050,50129,50267,50279,51542,51614,51694,51783,52086","12"
"integrate","integrate","A command to perform numerical integration on data sets.","method|analysis","yes","44565,50391,50395,50412,50457","5"
"trapezoid integration","integrate","A numerical method to approximate a definite integral using trapezoids.","algorithm","yes","44565,50391,50395,50412,50457","6"
"IRED","ired","Isotropic Reorientational Eigenmode Dynamics analysis for NMR relaxation.","method|analysis","yes","10680,12038,12047,12096,12105,34591,34679,34797,34814,34822,34885,34905,34934,34936,35755,35817,42738,42821,42822,44594,44612,44632,49331,49380,50471,50475,50508,50640,50656,50702,50710,50712,50790,50798,50812,50814,50818,50826,50832,50833,50837,50841,50845,50853,50857,50861,50865,50869,50873,50877,50881","58"
"Lamor frequency","freq","The precession frequency of a magnetic moment in a magnetic field.","measure|unit","yes","50475,50502,50535,50881","5"
"MHz","MHz","Megahertz, a unit of frequency (10^6 Hz).","unit","yes","50475,50506,50535","3"
"T1 relaxation","T1","The longitudinal or spin-lattice relaxation time in NMR.","measure","yes","41970,41980,41989,50552,50681","9"
"T2 relaxation","T2","The transverse or spin-spin relaxation time in NMR.","measure","yes","50552,50685","3"
"Nuclear Overhauser Effect","NOE","The transfer of nuclear spin polarization from one nucleus to another.","measure|method","yes","10675,10685,11191,11207,11215,11313,11322,27145,27149,27243,27270,27278,27315,27317,50552,50689,50887,54206,54243,54247,54256,54260,54264,54346,54425,54426,54437,54441,54457,54461,54465,54469,54473,54477,54481","39"
"Legendre polynomials","order","A system of complete and orthogonal polynomials used in time correlation.","model|algorithm","yes","969,1170,1202,1345,1983,4178,5623,14054,15995,18290,18694,18792,21521,21550,23132,23232,24366,26393,27423,27575,27649,27662,27666,27798,28009,28091,28104,28108,28712,28752,28881,28902,28915,28924,29299,29312,29316,29353,29357,29361,29374,29522,29668,29893,29906,29929,29941,30175,30177,30191,30238,30243,30254,30295,30307,30387,30389,30450,30466,30530,30541,30920,30922,30925,30965,30978,31094,31501,32697,33237,33255,33256,33258,33271,33276,33278,33312,33325,33364,33382,33465,33473,33485,33490,33495,33500,33506,33511,34224,34591,34801,34813,34871,35705,38717,38773,39317,39940,39988,41632","158"
"S2 order parameter","orderparamfile","A measure of the motional restriction of a bond vector in NMR.","measure","yes","50479,50566","2"
"correlation time","tcorr","The time scale over which a system's properties remain correlated.","measure","yes","50483,50588,50592,50714,50881,54904,54986,54990,55164,55168,55172,55185","14"
"nanosecond","ns","A unit of time equal to 10⁻⁹ seconds.","unit","yes","29530,53666,53685,53693,53702,53856,53919,53965,53968","11"
"kernel density estimator","kde","A non-parametric method to estimate the probability density function of a variable.","algorithm|model","yes","1261,44652,44661,50891,50895,50916,51005,52320,52354,52358,52362","12"
"Gaussian kernel","kde","A kernel function with the shape of a Gaussian used in KDE.","model|algorithm","yes","1261,44652,50891,50895,50916,51005,52320,52354,52358,52362","10"
"bandwidth","bandwidth","A smoothing parameter that controls the trade-off in KDE.","measure","yes","50895,50912,50916","4"
"Kullback-Leibler divergence","kldiv","A measure of how one probability distribution differs from a reference distribution.","measure|analysis","yes","44429,44690,49480,50903,50973,50985","6"
"lifetime","lifetime","A command to analyze the duration of specific states or interactions.","method|analysis","yes","32188,32194,37273,44710,44719,46034,46046,46099,46103,46116,46121,46138,46143,46329,46332,46371,46396,46400,46408,46425,46430,46573,47683,47685,47692,47698,47879,47881,51009,51012,51020,51050,51051,51053,51054,51083,51103,51139,51147,51168,51172,51176,51180,51184,51196,51205,51206,51219,51242,51248,51259,51285,51322,51334,51350,51354,51363,51382,51383,51384,51389,51419,51423,51439,52750,52832,52836","69"
"lifetime curve","rawcurve","A plot showing the survival probability of a state over time.","measure|analysis","yes","46138,46143,51029,51139,51248,51256,51259","7"
"lowestcurve","lowestcurve","A command to generate a curve by averaging the lowest points in bins.","method|analysis","yes","44739,51443,51447","3"
"meltcurve","meltcurve","A command to calculate a melting curve assuming a two-state transition model.","method|analysis","yes","44797,51511,51515","3"
"two-state transition","meltcurve","A model where a system exists in only two distinct states (e.g., folded/unfolded).","model","yes","44797,51511,51515","3"
"modes","modes","A command to perform various analyses on eigenmodes from PCA or NMA.","method|analysis","yes","3520,11249,37979,38076,38080,38084,38088,38120,44826,49257,49415,50487,50634,51525,51529,51584,51593,51619,51644,51664,51669,51682,51757,51921,51936,51975,51982,52007,52011,52015,52020,52088,52101,52530,54862,55851,55982","38"
"RMS fluctuations","fluct","Root-mean-square fluctuations of atomic positions, calculated from modes.","measure","yes","6387,23735,23798,51529,51581,51583,51857,51861,51865,51869,51873,51994,52007","13"
"dipole-dipole correlation","corr","The correlation between the orientation of two dipole vectors over time.","measure|analysis","yes","26329,42153,43075,44130,45788,48604,48608,48613,49659,51529,51558,51599,51601,51787,51809,52015,52020,52034,52975,53080,53119,53121,55127","23"
"root-mean-square inner product","rmsip","A measure of the overlap or similarity between two sets of modes.","measure|analysis","yes","51529,51619,51909,51913","5"
"Bose statistics","bose","Quantum statistics used to populate vibrational modes at low temperatures.","model","yes","51534,51680,51682","3"
"Boltzmann statistics","modes","Classical statistics used to populate vibrational modes at high temperatures.","model","yes","3520,11249,37979,38076,38080,38084,38088,38120,44826,49257,49415,50487,50634,51525,51529,51584,51593,51619,51644,51664,51669,51682,51757,51921,51936,51975,51982,52007,52011,52015,52020,52088,52101,52530,54862,55851,55982","38"
"principal component","pcmin","A vector representing a direction of maximum variance in a dataset.","measure|model","yes","6008,6018,49327,51554,51761,51765,51774,51918,52086,52087,52107,54876,55829","15"
"multicurve","multicurve","A command to perform non-linear curve fitting for multiple data sets simultaneously.","method|analysis","yes","44862,52111,52115","3"
"multi-exponential function","mexp","A function composed of a sum of several exponential terms.","model","yes","48906,48994,52123,52214","4"
"multihist","multihist","A command to generate multiple 1D histograms from various data sets.","method|analysis","yes","44891,52316,52320","3"
"phipsi","phipsi","A command to analyze and plot average phi and psi dihedral angles.","method|analysis","yes","2995,2999,3023,5390,5394,5398,44949,52425,52429,52497","11"
"phi dihedral","phi","A protein backbone dihedral angle (C-N-CA-C).","measure|chemical entity","yes","2995,3007,3031,5380,5390,5406,8043,8273,8286,8944,10670,11690,11699,25541,26654,33538,33570,33984,33988,34043,34223,34270,34274,35408,35482,35505,35509,35513,35514,44958,44968,50363,50368,50376,50387,52460,52465,52469,52470,52471,52474,52489,52497,54333,55945,55960,55964","51"
"psi dihedral","psi","A protein backbone dihedral angle (N-CA-C-N).","measure|chemical entity","yes","2999,3015,3031,5380,5394,5406,8043,8273,8286,8944,10670,11719,11728,25542,26654,33538,33570,33984,33988,34043,34223,34270,35408,35482,35505,35509,35513,44958,44968,50364,50372,50376,50387,52460,52465,52469,52470,52471,52474,52489,52497,54333,55945,55960,55964","48"
"projectdata","projectdata","A command to project 1D data sets onto previously generated eigenmodes.","method|analysis","yes","38155,38161,44979,52501,52504,52512","6"
"regress","regress","A command to perform linear regression on data sets.","method|analysis","yes","45008,52625,52629,52722","4"
"linear regression","regress","A statistical method to model the relationship between a dependent and independent variable.","algorithm|method","yes","26321,26329,26574,42145,42153,45008,45017,45780,45788,52625,52629,52642,52698,52722","14"
"remlog","remlog","A command to analyze log files from Replica Exchange Molecular Dynamics (REMD).","method|analysis","yes","3370,5914,18120,18193,18197,18296,18311,18315,45037,52734,52737,52745,52768,52776,52916,52920,52927","19"
"Replica Exchange Molecular Dynamics","REMD","An enhanced sampling method that simulates multiple replicas at different temperatures.","method|process","yes","5944,5957,6236,13521,18186,18191,18201,18223,18225,18294,18296,18298,18682,18690,18695,18696,18805,19585,20814,25605,25917,25922,41953,48549,48586,52907,52911,52916,52930","33"
"round-trip time","stats","In REMD, the time for a replica to travel across the entire temperature range and back.","measure","yes","41150,48599,49623,51334,52750,52808,52908,52920","8"
"2D RMSD","rms2d","A matrix of RMSD values comparing every frame in a trajectory to every other frame.","measure|analysis","yes","1217,39578,39585,39592,45066,45075,52942,52945,52953,52958,53042,53143,53170,53198","14"
"distance RMSD","dme","RMSD calculated from a matrix of internal distances, not coordinates.","measure","yes","27334,27481,46520,47081,47086,47900,52967,53010","9"
"quaternion RMSD","qrmsd","A computationally efficient method for calculating RMSD using quaternions.","algorithm|measure","yes","46520,47061,47066,52967,53030","6"
"pseudo-auto-correlation","corr","A correlation-like function derived from a 2D-RMSD matrix.","measure|analysis","yes","26329,42153,43075,44130,45788,48604,48608,48613,49659,51529,51558,51599,51787,51809,52020,52034,52975,53080,53084,53119,53121,53123,55127","23"
"RMS average correlation","rmsavgcorr","The average RMSD of running-averaged coordinates over increasing time windows.","measure|analysis","yes","1293,39600,39607,39614,45095,45104,53202,53205,53213,53218,53257,53277,53315,53351,53361","15"
"rotational diffusion","rotdif","The process by which molecules reorient due to random rotational motion.","process|measure","yes","1289,39894,39901,39907,39934,39946,45124,45133,53399,53402,53410,53485,53764,53946,53966,53970,53986,53998","18"
"diffusion tensor","rotdif","A tensor that describes the anisotropic rotational diffusion of a molecule.","measure|model","yes","1289,39894,39901,39907,39934,39946,45124,53399,53402,53410,53485,53758,53782,53946,53970,53986,53998","17"
"downhill simplex minimizer","amoeba","An optimization algorithm for finding the minimum of a function in a multidimensional space.","algorithm","yes","53784,53938","2"
"running average","runningavg","An average calculated over a sliding window of consecutive data points.","measure|analysis","yes","22312,39982,45160,45169,46931,46948,48246,54002,54006,54027,54035,54047,54055,54060","14"
"finite difference","slope","A mathematical expression that approximates a derivative.","algorithm|measure","yes","26321,26574,26597,42145,45780,48196,49590,49676,52689,52726,52844,54065,54069,54086,54094,54110,54119","18"
"cubic spline","spline","A piecewise polynomial function used for interpolation of data points.","algorithm|model","yes","27666,28108,29316,43318,45189,53870,54129,54133","10"
"NOE violation","noeout","An instance where a simulated distance falls outside the bounds of an NOE restraint.","measure|state","yes","54202,54239,54431,54481","4"
"<r⁻⁶>⁻¹/⁶ averaged distance","R6","A specific form of distance averaging used in NMR structure calculation.","measure","yes","54268,54437,54441,55112,55141","5"
"pucker","pucker","A conformational descriptor for non-planar ring systems, such as in sugars.","measure|state","yes","10661,10675,11183,11554,11583,11797,11806,11815,12188,12193,22040,22049,35538,35555,35564,35568,35577,35594,35601,35606,35638,35646,35654,35658,35664,35673,35677,35686,35701,35703,35705,35706,35723,35730,35731,36018,36022,36029,36032,36252,36533,36546,38172,38176,38181,38208,38241,38249,38257,38278,38313,38317,38330,38359,38361,38367,38371,54312,54350,54358,54364,54485,54489","67"
"thermodynamic integration","ti","A method for calculating free energy differences by integrating along a path.","method|analysis","yes","45247,53447,53600,53689,53693,53827,53850,53862,53992,54494,54498,54502,54589,54597,54614,54638,54668,54679,54692,54699,54725","22"
"DV/DL","ti","The derivative of the potential energy with respect to the coupling parameter lambda.","measure","yes","45247,45256,53447,53600,53689,53693,53827,53850,53862,53992,54494,54498,54502,54531,54589,54597,54614,54638,54668,54679,54692,54693,54699,54725","25"
"Gaussian quadrature","nq","A numerical method for approximating the definite integral of a function.","algorithm","yes","45256,54498,54535,54547,54704,54706,54719,54725","8"
"bootstrap analysis","bs_samples","A resampling statistical method used for estimating distributions and errors.","method|analysis","yes","54514,54644,54668,54686","4"
"Time-lagged Independent Component Analysis","tica","A method to find the slowest dynamical processes from molecular simulation data.","method|analysis","yes","38034,38105,45276,52588,52604,54730,54734,54803,54862,54875,54876,54881","12"
"kinetic map","map kinetic","A transformation of TICA eigenvectors to approximate kinetic distances between states.","method|model","no","","0"
"commute map","map commute","A transformation of TICA eigenvectors to approximate commute distances between states.","method|model","no","","0"
"timecorr","timecorr","A command to calculate time correlation functions for vectors using spherical harmonics.","method|analysis","yes","43081,45305,45515,54896,54900,55164,55168,55172,55185","9"
"spherical harmonics","timecorr","A set of orthogonal functions on the surface of a sphere used in vector correlation.","model|algorithm","yes","43081,45305,45343,45515,50561,54896,54900,55121,55164,55168,55172,55185","12"
"vectormath","vectormath","A command to perform mathematical operations like dot or cross products on vectors.","method|analysis","yes","45363,55189,55193,55311","4"
"dot product","dotproduct","An operation that returns a scalar representing the projection of one vector onto another.","measure","yes","4942,23505,55198,55239,55275,55311","7"
"cross product","crossproduct","A binary operation on two vectors that results in a third vector perpendicular to both.","measure","yes","55198,55248,55275","3"
"wavelet analysis","wavelet","A method that decomposes a time series into time and frequency components.","method|analysis","yes","1325,45392,45401,55315,55319,55323,55382,55405,55426,55446,55447,55527,55532,55535,55545,55549,55579,55580,55582,55584,55621,55624,55654,55659,55661,55677,55683,55687,55691,55701,55768","33"
"continuous wavelet transform","CWT","A transform that provides an overcomplete representation of a signal by letting the translation and scale parameters vary continuously.","algorithm|method","yes","55550,55562,55572,55578","4"
"Morlet wavelet","morlet","A non-orthogonal complex wavelet used for time-frequency analysis.","model","yes","55394,55403,55426,55527,55660,55677,55768","7"
"Paul wavelet","paul","A type of complex-valued analytic wavelet.","model","yes","35332,55395,55404,55426,55527","5"
"Wavelet Analysis Feature Extraction","WAFEX","A method using clustering on wavelet maps to identify significant motions.","method|analysis","yes","55687,55691","3"
"Cartesian covariance matrix","covar","A covariance matrix constructed from the Cartesian coordinates of atoms.","measure|model","yes","11902,11931,34599,34671,34748,34893,49265,49266,49378,51947,55847,55911","12"
"Dihedral covariance matrix","dihcovar","A covariance matrix constructed from the dihedral angles of a molecule.","measure|model","yes","12076,34603,34835,34847,34889,34909,34951,55945,55974,55978,55982","12"
