[Term],[Variable],[Description],[Category1|Category2|...]
"Orientation Quaternion","orientation quaternion","A unit quaternion parametrizing the optimal rotation between coordinate sets","model|measure"
"ORIENTATION_ANGLE","ORIENTATION_ANGLE","The angle of rotation between current and reference positions","measure"
"ORIENTATION_PROJ","ORIENTATION_PROJ","The cosine of the angle of rotation between positions","measure"
"TILT","TILT","Cosine of the rotation orthogonal to a given axis","measure"
"SPINANGLE","SPINANGLE","Angle of rotation around a given unit axis","measure"
"QUATERNION0","QUATERNION0","The scalar component (q0) of the orientation quaternion","measure|identifier"
"QUATERNION1","QUATERNION1","The first vector component (q1) of the orientation quaternion","measure|identifier"
"QUATERNION2","QUATERNION2","The second vector component (q2) of the orientation quaternion","measure|identifier"
"QUATERNION3","QUATERNION3","The third vector component (q3) of the orientation quaternion","measure|identifier"
"q_index","q_index","An attribute to link and normalize quaternion CVs together","identifier"
"Steered Molecular Dynamics","Steered MD","A method applying external forces to drive conformational changes","method|process"
"&smd namelist","&smd","Namelist in the MDIN file to activate steered MD","data format"
"Catmull-Rom spline","Catmull-Rom spline","A spline used for defining the steering path or harmonic constant","model|algorithm"
"path_mode","path_mode","Defines how steering paths are constructed (SPLINE or LINES)","identifier"
"harm","harm","Specifies the harmonic constant for the steering potential","measure"
"Umbrella Sampling","Umbrella sampling","A method using biasing potentials to enhance sampling along a coordinate","method|process"
"&pmd namelist","&pmd","Namelist in the MDIN file to activate umbrella sampling","data format"
"anchor_position","anchor_position","Determines the boundaries of the umbrella harmonic potential","measure"
"anchor_strength","anchor_strength","Sets the harmonic constant for the umbrella potential","measure"
"Adaptively Biased Molecular Dynamics","ABMD","A method for free energy calculation using an adaptive bias potential","method|algorithm"
"&abmd namelist","&abmd","Namelist in the MDIN file to activate ABMD","data format"
"&bbmd namelist","&bbmd","Namelist for replica-exchange ABMD with different reaction coordinates","data format"
"FLOODING mode","FLOODING","ABMD execution mode where adaptive biasing is enabled","state|method"
"timescale","timescale","The flooding timescale (τF) in picoseconds for ABMD","measure|unit"
"Multiple-walker selection algorithm","multiple-walker selection algorithm","Improves ABMD simulation by resampling between different walkers","algorithm|method"
"Well-tempered ABMD","Well-tempered ABMD","A variant of ABMD for smoother free energy convergence","method|algorithm"
"wt_temperature","wt_temperature","Sets the pseudo-temperature for well-tempered ABMD","measure"
"Driven ABMD","Driven ABMD","Combines Steered MD with ABMD for driven free energy calculations","method|algorithm"
"Swarms-of-Trajectories String Method","STSM","A path-finding algorithm to find the Minimum Free Energy Path","method|algorithm"
"Minimum Free Energy Path","MFEP","The most probable transition pathway between two energy minima","model|state"
"&stsm namelist","&stsm","Namelist in the MDIN file to invoke the STSM","data format"
"image","image","A node defining a point on the string in STSM","identifier|model"
"PMEMD","PMEMD","A high-performance parallel molecular dynamics engine in Amber","software"
"pmemd.cuda","pmemd.cuda","The GPU-accelerated version of the PMEMD software","software"
"nfe-umbrella-slice","nfe-umbrella-slice","A utility to process and analyze biasing potential files from ABMD","software"
"Jarzynski Relationship","Jarzynski relationship","Relates non-equilibrium work to equilibrium free energy differences","model|method"
".RST file",".RST","A file specifying restraint conditions for SMD or NMR","data format"
"EMIL","EMIL","A method to calculate absolute free energy via thermodynamic integration","method|algorithm"
"Einstein Molecule","Einstein Molecule","A reference system with an analytically known free energy","model"
"emil_do_calc","emil_do_calc","A flag in the input file to activate EMIL calculation","identifier"
"emilParameters.in","emilParameters.in","An EMIL-specific input file for control data","data format|data source"
"emil_sc","emil_sc","Option for mutual softcoring of interatomic forces in EMIL","identifier|method"
"softcoring","softcoring","A technique to avoid singularities in potential energy calculations","method|algorithm"
"solidRes","solidRes","List of residues with atoms assigned to specific harmonic wells","identifier"
"liquidRes","liquidRes","List of residues part of a fluid with adjustable well assignments","identifier"
"ijarzynski","ijarzynski","An input parameter to enable features for Jarzynski's equation calculations","identifier"
"dynlmb","dynlmb","Controls the increment of the lambda coupling parameter","measure"
"ntave","ntave","The number of steps between lambda increments","measure"
"Constant pH Molecular Dynamics","CpHMD","A method to simulate systems at a constant pH value","method|process"
"icnstph","icnstph","Input flag to turn on constant pH simulations","identifier"
"solvph","solvph","Input parameter to set the solvent pH value","measure"
"ntcnstph","ntcnstph","Number of MD steps between protonation state change attempts","measure"
"ntrelax","ntrelax","Number of solvent relaxation steps after a protonation state change","measure"
"cpin file","cpin","Input file describing titrating residues and their states","data format|data source"
"cpout file","cpout","Output file logging the history of sampled protonation states","data format"
"cprestrt file","cprestrt","A restart file for constant pH simulations","data format"
"cpinutil.py","cpinutil.py","A python script to generate the cpin file","software"
"cphstats","cphstats","A program to analyze cpout files from CpHMD simulations","software"
"finddgref.py","finddgref.py","A tool to automatically compute reference energies for CpHMD","software|method"
"reference energy","reference energy","Pre-computed energy difference for a protonation state change","measure"
"AS4","AS4","A special residue name for titratable aspartic acid","chemical entity"
"GL4","GL4","A special residue name for titratable glutamic acid","chemical entity"
"HIP","HIP","A special residue name for doubly protonated, titratable histidine","chemical entity"
"leaprc.constph","leaprc.constph","A LEaP command file for preparing constant pH systems","data source"
"pH Replica Exchange MD","pH-REMD","A replica exchange method that improves protonation and conformational sampling","method|algorithm"
"Henderson-Hasselbalch equation","Henderson-Hasselbalch equation","Relates pH, pKa, and the ratio of protonated/deprotonated species","model"
"Hill equation","Hill equation","Describes ligand binding to macromolecules, used for pKa fitting","model"
"cphstats","cphstats","A program to compute statistics from constant pH simulation outputs","software"
"calcpka","calcpka","A program for calculating pKa values from simulation data","software"
"Conditional Probability","Conditional Probabilities","The probability of an event given another event has occurred","measure"
"Constant Redox Potential Molecular Dynamics","Constant Redox Potential molecular dynamics","A method to simulate systems at a constant redox potential","method|process"
"CEMD","CEMD","Acronym for Constant Redox Potential Molecular Dynamics","method|process"
"cein file","cein file","An input file describing redox-active titrating residues and states","data format|data source"
"HEH","HEH","A redox-active residue representing a bis-histidine heme group","chemical entity"
"leaprc.conste","leaprc.conste","A LEaP command file for preparing constant redox potential systems","data source"
"ceinutil.py","ceinutil.py","A python tool to generate the cein input file","software"
"cpeinutil.py","cpeinutil.py","A tool for residues that are both pH- and redox-active","software"
"cpein file","cpein file","Input file for simultaneously pH- and redox-active residues","data format|data source"
"icnste","icnste","An input flag to enable constant redox potential simulations","identifier"
"solve","solve","An input parameter to set the solvent redox potential in Volts","measure|identifier|unit"
"ntcnste","ntcnste","The number of MD steps between redox state change attempts","measure|identifier"
"ntrelaxe","ntrelaxe","The number of solvent relaxation steps after a redox state change","measure|identifier"
"ceout file","ceout file","An output file logging the history of sampled redox states","data format"
"cestats","cestats","A program to compute statistics from constant redox potential simulations","software"
"Nernst equation","Nernst equation","Relates reduction potential to standard potential and concentrations","model"
"Continuous constant pH MD","Continuous constant pH MD","An alternative CpHMD method using lambda-dynamics for continuous titration","method|algorithm"
"lambda-dynamics","lambda-dynamics","A free energy calculation method using a dynamic coupling parameter","method|algorithm"
"iphmd","iphmd","An input flag to select the continuous CpHMD mode","identifier"
"GBNeck2","GBNeck2","A specific Generalized Born implicit solvent model","model"
"phmd.lib","phmd.lib","A library file with residue definitions for continuous CpHMD","data source"
"frcmod.phmd","frcmod.phmd","A force field modification file for continuous CpHMD","data source"
"AS2","AS2","A residue definition for ASP with two dummy hydrogens","chemical entity"
"GL2","GL2","A residue definition for GLU with two dummy hydrogens","chemical entity"
"PME-CpHMD","PME-CpHMD","All-atom continuous CpHMD using Particle Mesh Ewald for electrostatics","method|algorithm"
"&phmdin namelist","&phmdin","A namelist for continuous CpHMD input parameters","data format"
"&phmdparm namelist","&phmdparm","A namelist for continuous CpHMD model compound/peptide parameters","data format"
"NMR refinement","NMR refinement","A process of using NMR data to refine biomolecular structures","process|method"
"NOE","NOE","Nuclear Overhauser Effect, a measure for distance restraints","measure"
"J-coupling","J-coupling","A measure of through-bond interactions used for dihedral restraints","measure"
"Residual Dipolar Couplings","residual dipolar couplings","A measure of bond vector orientation in a magnetic field","measure"
"DISANG file","DISANG","A file containing distance, angle, and torsional restraint definitions","data format|data source"
"&rst namelist","&rst","A namelist for defining individual restraints in the DISANG file","data format"
"iat","iat","An array of atom indices that define a restraint","identifier"
"Generalized distance coordinate restraint","generalized distance coordinate restraint","A restraint defined as a linear combination of multiple distances","model|measure"
"Karplus relationship","Karplus relationship","An equation that relates J-coupling values to dihedral angles","model"
"rjcoef","rjcoef","Coefficients (A, B, C) for the Karplus relationship","measure|identifier"
"NOESY volume restraints","NOESY volume restraints","Restraints based on integrated NOESY cross-peak intensities","measure|method"
"&noeexp namelist","&noeexp","A namelist for defining NOESY volume restraint experiments","data format"
"Chemical shift restraints","Chemical shift restraints","Restraints based on differences between observed and calculated chemical shifts","measure|method"
"&shf namelist","&shf","A namelist for defining chemical shift restraints","data format"
"Pseudocontact shift restraints","Pseudocontact shift restraints","Restraints based on chemical shifts induced by paramagnetic centers","measure|method"
"&pcshift namelist","&pcshift","A namelist for defining pseudocontact shift restraints","data format"
"Magnetic susceptibility tensor","magnetic susceptibility tensor","Describes the magnetic properties and anisotropy of a paramagnetic center","model|measure"
"Direct dipolar coupling restraints","Direct dipolar coupling restraints","Restraints based on direct dipolar couplings in partially aligned media","measure|method"
"&align namelist","&align","A namelist for defining dipolar coupling restraints and alignment tensors","data format"
"Alignment tensor","alignment tensor","Describes the average orientation of a molecule in a sample","model|measure"
"Residual CSA restraints","Residual CSA restraints","Restraints based on chemical shift anisotropy in partially aligned media","measure|method"
"&csa namelist","&csa","A namelist for defining residual CSA restraints","data format"
"makeDIST_RST","makeDIST_RST","An auxiliary program to prepare distance restraint files for sander","software"
"makeANG_RST","makeANG_RST","An auxiliary program to prepare angle restraint files for sander","software"
"makeCHIR_RST","makeCHIR_RST","An auxiliary program to prepare chirality restraint files for sander","software"
"cyanarest_to_amberRST","cyanarest_to_amberRST","A program to convert Cyana restraints to Amber format","software"
"nef_to_RST","nef_to_RST","A program to convert NEF restraints to Amber format","software"
"sviol","sviol","A tool to prepare tables and statistics of restraint violations","software"
"makeDIST_RST","makeDIST_RST","A program that converts simplified distance bounds into sander input","software"
"MAP file","MAP file","A file defining ambiguous or partially assigned NMR peaks","data format|data source"
"addles","addles","A program to prepare topology and coordinate files for LES simulations","software"
"makeANG_RST","makeANG_RST","A program that converts torsion angle constraints into Amber RST format","software"
"tordef.lib","tordef.lib","A default library file defining standard torsion angles for makeANG_RST","data source"
"makeCHIR_RST","makeCHIR_RST","A program that creates chirality and omega constraints for refinement","software"
"makeDIP_RST","makeDIP_RST","A program to prepare residual dipolar coupling restraint files","software"
"NMR Exchange Format","NEF","A common, standard format for encoding and exchanging NMR restraints","data format"
"nef_to_RST","nef_to_RST","A script to convert NMR Exchange Format (NEF) files to Amber RST format","software"
"fantasian","fantasian","A program to evaluate magnetic anisotropy tensor parameters from pseudocontact shifts","software"
"sviol","sviol","A script that summarizes energies and restraint violations from sander output","software"
"Time-averaged restraints","Time-averaged restraints","Restraints applied to the time-averaged value of an internal coordinate","method|model"
"Locally-enhanced sampling","LES","A method using multiple local copies of regions to enhance sampling","method|algorithm"
"sander.LES","sander.LES","A version of the sander program that supports LES simulations","software"
"EMAP restraints","EMAP restraints","Restraints that incorporate electron microscopy (EM) image information into simulations","method|model"
"&emap namelist","&emap","A namelist in the input file containing parameters for an EMAP restraint","data format"
"mapfile","mapfile","The filename of a restraint map or structure for EMAP restraints","data source|identifier"
"atmask","atmask","An atom mask string for selecting atoms to be restrained","identifier"
"fcons","fcons","The restraining force constant for an EMAP restraint","measure"
"FRETrest","FRETrest","A set of scripts for generating FRET-based restraints for MD simulations","software|method"
"placeAV.py","placeAV.py","A script that adds pseudo atoms representing fluorescent dyes to a topology file","software"
"FRETrest.py","FRETrest.py","A script that applies FRET restraints between pseudo atoms","software"
"X-ray refinement","X-ray refinement","The process of refining a molecular structure using X-ray diffraction data","method|process"
"Structure factors","Structure factors","The Fourier transform of the electron density, used in crystallographic refinement","measure|model"
"Miller indices","h, k, l","A set of three integers that identify a specific reflection in crystallography","identifier"
"&xray namelist","&xray","A namelist in the mdin file containing parameters for X-ray refinement","data format"
"reflection_infile","reflection_infile","An input file containing experimental structure factors and R-free flags","data source"
"bulk_solvent_model","bulk_solvent_model","A model to account for the contribution of disordered solvent to diffraction","model"
"Maximum Likelihood target function","target = ‘ml’","A statistical target function used for X-ray refinement","model|method"
"Amoeba force field","Amoeba force field","A multipolar, polarizable force field for detailed biomolecular simulations","model"
"gem.pmemd","gem.pmemd","An executable in Amber for running AMOEBA and experimental GEM* simulations","software"
"&amoeba namelist","&amoeba","A namelist in the input file containing parameters for an AMOEBA simulation","data format"
"&gem namelist","&gem","A namelist in the input file containing parameters for a GEM* simulation","data format"
"Beeman integrator","beeman_integrator","A dynamics integrator algorithm, an alternative to velocity Verlet","algorithm"
"Kernel Modified Molecular Dynamics","KMMD","A machine learning method to add corrections to a classical force field","method|algorithm|model"
"iextpot","iextpot","An input flag to enable an external potential, such as KMMD","identifier"
"&extpot namelist","&extpot","A namelist for defining the parameters of an external potential","data format"
"NAB","NAB","A scripting language (Nucleic Acid Builder) for manipulating macromolecular structures","software"
"sff","sff","A ""simple force field"" library within NAB for molecular mechanics calculations","software|model"
"mdout_analyzer.py","mdout_analyzer.py","A Python script to rapidly parse and analyze energy components from mdout files","software"
"ambpdb","ambpdb","A utility to convert Amber coordinate/restart files to the PDB format","software"
"pytraj","pytraj","A Python library that provides a front-end to the cpptraj analysis engine","software"
"MMPBSA.py","MMPBSA.py","A Python script to perform MM/PB(GB)SA binding free energy calculations","software|method"
"MM/PB(GB)SA","MM/PB(GB)SA","A post-processing method to estimate binding free energies from snapshots","method|algorithm"
"iAPBS","iAPBS","An interface to the Adaptive Poisson Boltzmann Solver (APBS) program","software|interface"
"ante-MMPBSA.py","ante-MMPBSA.py","A python utility to create compatible topology files for MMPBSA.py","software"
"single trajectory protocol","single trajectory protocol","An MM/PB(GB)SA approach using one trajectory for all species","method"
"multiple trajectory protocol","multiple trajectory protocol","An MM/PB(GB)SA approach using separate trajectories for each species","method"
"&general namelist","&general","A namelist in the MMPBSA.py input file for general parameters","data format"
"&gb namelist","&gb","A namelist in the MMPBSA.py input file for Generalized Born parameters","data format"
"&pb namelist","&pb","A namelist in the MMPBSA.py input file for Poisson-Boltzmann parameters","data format"
"&rism namelist","&rism","A namelist in the MMPBSA.py input file for 3D-RISM parameters","data format"
"&alanine_scanning namelist","&alanine_scanning","A namelist in the MMPBSA.py input file for alanine scanning parameters","data format"
"&nmode namelist","&nmode","A namelist in the MMPBSA.py input file for normal mode analysis parameters","data format"
"&decomp namelist","&decomp","A namelist in the MMPBSA.py input file for energy decomposition parameters","data format"
"endframe","endframe","The final frame to extract from a trajectory for analysis","identifier"
"interval","interval","The offset for choosing frames from a trajectory","identifier"
"keep_files","keep_files","A variable specifying which temporary files to keep after a run","identifier"
"ligand_mask","ligand_mask","An Amber mask specifying the ligand residues in the complex","identifier"
"receptor_mask","receptor_mask","An Amber mask specifying the receptor residues in the complex","identifier"
"startframe","startframe","The first frame to extract from a trajectory for analysis","identifier"
"strip_mask","strip_mask","An Amber mask specifying atoms to be stripped from a trajectory","identifier"
"use_sander","use_sander","A flag to force the use of the sander program for calculations","identifier"
"verbose","verbose","A variable controlling the amount of output printed","identifier"
"ifqnt","ifqnt","A flag to specify if a part of the system is treated with QM","identifier"
"igb","igb","A flag to select the Generalized Born model to use","identifier"
"qm_residues","qm_residues","A list of residues to be treated with quantum mechanics","identifier"
"qm_theory","qm_theory","Specifies the semi-empirical Hamiltonian for a QM calculation","identifier"
"qmcharge_com","qmcharge_com","The total charge of the quantum mechanical region of the complex","measure"
"qmcharge_lig","qmcharge_lig","The total charge of the quantum mechanical region of the ligand","measure"
"qmcharge_rec","qmcharge_rec","The total charge of the quantum mechanical region of the receptor","measure"
"qmcut","qmcut","The cutoff for QM/MM charge interactions","measure"
"saltcon","saltcon","The salt concentration in Molarity","measure|unit"
"surfoff","surfoff","An offset to correct the non-polar contribution to solvation free energy","measure"
"surften","surften","The surface tension value for non-polar solvation energy calculation","measure"
"molsurf","molsurf","A flag to use the molsurf algorithm for surface area calculation","identifier|algorithm"
"probe","probe","The radius of the probe molecule for molecular surface calculation","measure"
"inp","inp","A flag to select the nonpolar optimization method in PB calculations","identifier"
"cavity_offset","cavity_offset","An offset to correct the non-polar free energy contribution in PB","measure"
"cavity_surften","cavity_surften","The surface tension value for PB non-polar energy calculation","measure"
"exdi","exdi","The external dielectric constant for PB calculations","measure"
"indi","indi","The internal dielectric constant for PB calculations","measure"
"fillratio","fillratio","The ratio of the PB grid dimension to the solute dimension","measure"
"scale","scale","The resolution of the Poisson-Boltzmann grid","measure"
"istrng","istrng","The ionic strength in Molarity for PB calculations","measure|unit"
"linit","linit","The maximum number of iterations for the linear PB equation","identifier"
"prbrad","prbrad","The solvent probe radius for PB calculations","measure"
"radiopt","radiopt","An option to set up atomic radii for PB calculations","identifier"
"sander_apbs","sander_apbs","A flag to use the APBS program for PB calculations via an interface","identifier"
"memopt","memopt","A flag to turn on membrane protein support in PB calculations","identifier"
"emem","emem","The dielectric constant of the membrane","measure"
"mthick","mthick","The thickness of the membrane","measure"
"mctrdz","mctrdz","The absolute center of the membrane in the z-direction","measure"
"poretype","poretype","A flag to turn on automatic membrane channel/pore finding","identifier"
"mutant_only","mutant_only","A flag to perform calculations only for the mutant in alanine scanning","identifier"
"dielc","dielc","The distance-dependent dielectric constant for nmode calculations","measure"
"drms","drms","The convergence criterion for the energy gradient in minimization","measure"
"maxcyc","maxcyc","The maximum number of minimization cycles","identifier"
"nminterval","nminterval","The interval for selecting frames for normal mode calculations","identifier"
"nmendframe","nmendframe","The final frame for normal mode calculations","identifier"
"nmode_igb","nmode_igb","The Generalized Born model to use for normal mode calculations","identifier"
"nmode_istrng","nmode_istrng","The ionic strength for normal mode calculations","measure|unit"
"nmstartframe","nmstartframe","The starting frame for normal mode calculations","identifier"
"idecomp","idecomp","A flag to select the energy decomposition scheme","identifier"
"print_res","print_res","A selection of residues for which to print decomposition results","identifier"
"buffer","buffer","The minimum distance between the solute and the edge of the RISM solvation box","measure"
"closure","closure","The approximation to the closure relation in 3D-RISM","identifier|model"
"grdspc","grdspc","The grid spacing of the RISM solvation box","measure"
"ng","ng","The number of grid points in each dimension for the RISM box","identifier"
"polardecomp","polardecomp","A flag to decompose the RISM solvation free energy into polar/non-polar parts","identifier"
"solvbox","solvbox","The length of the RISM solvation box in each dimension","measure"
"solvcut","solvcut","The cutoff for solute-solvent interactions in 3D-RISM","measure"
"thermo","thermo","The thermodynamic equation to use for calculating RISM solvation properties","identifier"
"tolerance","tolerance","The convergence criterion for the self-consistent solution in 3D-RISM","measure"
"rism3d.snglpnt","rism3d.snglpnt","A program to perform single-point 3D-RISM calculations","software"
"MMPBSA.py API","MMPBSA.py API","A Python Application Programming Interface for accessing MMPBSA.py data","software|interface"
"load_mmpbsa_info","load_mmpbsa_info","A function in the MMPBSA.py API to load and parse calculation data","software"
"mmpbsa_data","mmpbsa_data","A data structure (dictionary) in the API that holds parsed MMPBSA.py results","data format"
"FEW","FEW","Free Energy Workflow, a tool for automated binding free energy calculations","software|process"
"WAMM","WAMM","A FEW module for automated MM-PBSA & MM-GBSA calculations","software|process"
"LIEW","LIEW","A FEW module for Linear Interaction Energy workflow","software|process"
"TIW","TIW","A FEW module for Thermodynamic Integration workflow","software|process"
"AM1-BCC","AM1-BCC","A method for calculating atomic charges for organic molecules","method|model"
"RESP","RESP","Restrained Electrostatic Potential fit, a method for deriving atomic charges","method|model"
"1-trajectory protocol","1-trajectory protocol","An MM-PB(GB)SA approach using a single trajectory for all species","method"
"3-trajectory protocol","3-trajectory protocol","An MM-PB(GB)SA approach using separate trajectories for complex, receptor, and ligand","method"
"ICOSA method","ICOSA method","A method for calculating the solvent accessible surface area","algorithm"
"Generalized Born","GB1","Implicit solvent model for solvation free energy calculations","model|method"
"mbondi radii","mbondi","A set of atomic radii for implicit solvent calculations","data source|model"
"Hawkins-Cramer-Truhlar radii","GB^HTC","Radii set used for specific Generalized Born calculations","data source|model"
"Linear Combination of Pairwise Overlaps","LCPO","Method to calculate solvent accessible surface area","algorithm|method"
"Solvent Accessible Surface Area","SASA","The surface area of a biomolecule accessible to solvent","measure"
"Surface Tension","γ","Parameter representing the surface tension in nonpolar energy calculations","measure|model"
"Surface Offset","b","Offset parameter in the nonpolar solvation energy calculation","measure|model"
"Generalized Born","GB2","Implicit solvent model for solvation free energy calculations","model|method"
"mbondi2 radii","mbondi2","A modified set of Bondi radii for implicit solvent calculations","data source|model"
"Onufriev-Bashford-Case radii","GB^OBC model I","Radii set for a specific Generalized Born model (OBC)","data source|model"
"Generalized Born","GB5","Implicit solvent model for solvation free energy calculations","model|method"
"Onufriev-Bashford-Case radii","GB^OBC model II","Radii set for a specific Generalized Born model (OBC)","data source|model"
"Generalized Born","GB6","Implicit solvent model for solvation free energy calculations","model|method"
"Bondi radii","bondi","A standard set of van der Waals radii for atoms","data source|model"
"Generalized Born Non-polar Surface Radii 6","GBNSR6","A specific Generalized Born implicit solvent model","model|algorithm"
"Poisson-Boltzmann","PB1","Implicit solvent model using the Poisson-Boltzmann equation","model|method"
"Tan&Luo radii","Tan&Luo","Atomic radii set optimized for Poisson-Boltzmann calculations","data source|model"
"Poisson-Boltzmann Solvent Accessible Surface Area","PBSA","Method combining PB electrostatics with a SASA-based nonpolar term","method|model"
"Dispersion Energy","E_dispersion","Energy contribution from solute-solvent dispersion interactions","measure"
"Poisson-Boltzmann","PB2","Implicit solvent model using the Poisson-Boltzmann equation","model|method"
"Hybrid Solvent MM-PBSA","Hybrid PBSA","A hybrid MM-PBSA calculation method","method|model"
"Molsurf","Molsurf","A program to calculate the molecular surface area","software|algorithm"
"Molecular Surface Area","MSA","The surface area of a molecule, often solvent-excluded","measure"
"van der Waals energy","E_vdW","Non-bonded energy arising from van der Waals interactions","measure"
"Poisson-Boltzmann","PB3","Implicit solvent model using the Poisson-Boltzmann equation","model|method"
"Parse radii","Parse","A set of atomic radii for Poisson-Boltzmann calculations","data source|model"
"Poisson-Boltzmann","PB4","Implicit solvent model using the Poisson-Boltzmann equation","model|method"
"Decomposition","dec","Energy decomposition of effective binding free energies","method|process"
"ICOSA","ICOSA","A recursive approximation method for calculating SASA from an icosahedron","algorithm|method"
"Modified Incomplete Choleski Conjugate Gradient","Modified Incomplete Choleski Conjugate Gradient","A numerical solver for the Poisson-Boltzmann equation","algorithm"
"Ligand Structure Path","lig_struct_path","Path to the directory containing ligand structure files","identifier"
"mol2","mol2","A molecular file format for representing chemical structures","data format"
"Output Path","output_path","Path to the main output directory for calculations","identifier"
"Water in Receptor","water_in_rec","Flag indicating if crystal waters are present in the receptor","identifier|state"
"MM-PBSA Calculation Setup","mmpbsa_calc","Flag to request setup of MM-PBSA/MM-GBSA calculation files","process"
"Trajectory Approach","1_or_3_traj","Specifies using a single or three separate trajectories","method|identifier"
"Charge Method","charge_method","Specifies the charge model used for the ligand","model|method"
"AM1","am1","A semi-empirical quantum mechanics method for charge calculation","model|method"
"RESP","resp","Restrained Electrostatic Potential; a method for deriving atomic charges","model|method"
"Additional Library","additional_library","Path to a library file for non-standard residues","data source|identifier"
"Additional Frcmod","additional_frcmod","Path to a force field modification file with extra parameters","data source|identifier"
"mm_pbsa.pl","mmpbsa_pl","The main Perl script for running MM-PBSA/GBSA calculations","software"
"Snapshot Extraction","extract_snapshots","Flag to request extraction of coordinate frames from a trajectory","process"
"First Snapshot","first_snapshot","Index of the first trajectory frame to be extracted","identifier"
"Last Snapshot","last_snapshot","Index of the last trajectory frame to be extracted","identifier"
"Offset Snapshots","offset_snapshots","Frequency or step size for extracting trajectory frames","identifier"
"Trajectory Files","trajectory_files","Specifies which trajectory files to use for snapshot extraction","data source|identifier"
"Image Trajectories","image_trajectories","Flag to center and re-orient molecules in trajectory snapshots","process"
"Use Imaged Trajectories","use_imaged_trajectories","Flag to reuse previously imaged trajectories for subsequent calculations","identifier|state"
"Image Mass Origin","image_mass_origin","Flag to image the system relative to its mass origin","process|identifier"
"Poisson-Boltzmann Calculation Type","PB","Specifies the type of Poisson-Boltzmann calculation to perform","method|identifier"
"Generalized Born Calculation Type","GB","Specifies the type of Generalized Born calculation to perform","method|identifier"
"Energy Decomposition","decomposition","Specifies the type of per-residue or pairwise energy decomposition","method|process"
"Number of Receptor Residues","no_of_rec_residues","The total count of amino acid residues in the receptor","measure|identifier"
"Total Number of Intervals","total_no_of_intervals","Total number of trajectory segments to be analyzed","identifier"
"First PB Snapshot","first_PB_snapshot","The starting snapshot for the MM-PBSA/GBSA analysis","identifier"
"Last PB Snapshot","last_PB_snapshot","The ending snapshot for the MM-PBSA/GBSA analysis","identifier"
"Offset PB Snapshots","offset_PB_snapshots","The frequency of snapshots to use in the MM-PBSA/GBSA analysis","identifier"
"Parallel MM-PBSA Calculation","parallel_mmpbsa_calc","Number of processors to use for a parallel calculation","identifier"
"Adaptive Poisson-Boltzmann Solver","APBS","A software package for solving the Poisson-Boltzmann equation","software"
"Implicit Membrane","implicit_membrane","Flag to include a low-dielectric slab representing a membrane","model|identifier"
"APBS Executable","apbs_executable","Full path to the APBS software executable file","identifier|software"
"Solute Dielectric Constant","epsilon_solute","The dielectric constant assigned to the solute interior","measure|model"
"Bottom Membrane Boundary","bottom_membrane_boundary","The lower z-coordinate boundary of the implicit membrane slab","measure"
"Membrane Thickness","membrane_thickness","The total thickness of the implicit membrane slab in Angstroms","measure"
"Membrane Dielectric Constant","membrane_dielc","The dielectric constant of the main implicit membrane region","measure|model"
"Second Slab Thickness","second_slab_thickness","Thickness of a secondary region within the implicit membrane","measure"
"Second Slab Dielectric Constant","second_slab_dielc","Dielectric constant of the secondary implicit membrane region","measure|model"
"Third Slab Thickness","third_slab_thickness","Thickness of a tertiary region within the implicit membrane","measure"
"Third Slab Dielectric Constant","third_slab_dielc","Dielectric constant of the tertiary implicit membrane region","measure|model"
"Ion Concentration","ion_concentration","The molar concentration of salt for the PB calculation","measure"
"Upper Exclusion Radius","upper_exclusion_radius","Upper radius defining the ion-exclusion layer in membrane calculations","measure"
"Lower Exclusion Radius","lower_exclusion_radius","Lower radius defining the ion-exclusion layer in membrane calculations","measure"
"APBS Focussing","do_focussing","Performs a multi-step, iterative grid focusing calculation in APBS","process|method"
"Grid Dimensions","grid_dimensions","The number of grid points along each axis for the PB grid","measure"
"Protein-Protein MM-PBSA","protein_protein","Flag to enable MM-PBSA calculations for a protein-protein complex","method|process"
"Protein 1 Residue Range","protein1_res_range","Defines the residue number range for the first protein partner","identifier"
"Protein 2 Residue Range","protein2_res_range","Defines the residue number range for the second protein partner","identifier"
"Nonpolar Solvation Treatment for Membrane","nonpolar_solv","Sets SASA to zero for residues located inside the membrane","method|identifier"
"extract_WAMMenergies.pl","extract_WAMMenergies.pl","A Perl script to extract final energies from MM-PBSA/GBSA output","software"
"Electrostatic Energy","ELE","The electrostatic interaction energy component","measure"
"van der Waals Energy","VDW","The van der Waals interaction energy component","measure"
"Nonpolar Solvation Energy","NP_SOLV","The nonpolar contribution to the free energy of solvation","measure"
"Polar Solvation Energy","P_SOLV","The polar contribution to the free energy of solvation","measure"
"Total Binding Free Energy","ETOT","The final calculated total binding free energy","measure"
"Linear Interaction Energy","LIE","A method for estimating binding free energies from interaction energies","method|model"
"LIE Calculation Setup","lie_calc","Flag to request the setup of LIE calculations","process"
"LIE Executable","lie_executable","Path to the Perl script that performs LIE calculations","identifier|software"
"First LIE Snapshot","first_lie_snapshot","The starting snapshot for the LIE energy calculation","identifier"
"Last LIE Snapshot","last_lie_snapshot","The ending snapshot for the LIE energy calculation","identifier"
"Offset LIE Snapshots","offset_lie_snapshots","The frequency of snapshots to use in the LIE analysis","identifier"
