"Term","Variable","Description","Category1|Category2|...","really found?","line_numbers","occurrence_count","removal_reason"
"Replica Exchange Molecular Dynamics","REMD","An enhanced sampling method using parallel simulations at different temperatures.","method|algorithm","yes","52530,52630,67390,109835,112652,112658,112689,112770,112846,112870,114659,118830,126265,126419,148580,148583,148591,148598,148599,148704,148727,148754,148782,148807,148822,148825,148833,148867,148891,148903,148918,148919,148944,148957,148964,148979,148994,149017,149027,149031,149032,149033,149035,149037,149038,149040,149045,149066,149067,149095,149190,149211,149270,149371,149378,149428,149434,149435,149445,149454,149459,149512,149691,149701,149703,149710,149715,149723,149727,149782,149786,149790,149845,149849,149856,149867,149919,149933,149934,149941,149948,149960,149965,149973,150072,150075,150083,150086,150103,150113,150121,150123,150134,150185,150191,150194,150203,150212,150314,150363","325","Lower-priority member of semantic cluster led by row 683 (Champion: 'Replica Exchange Molecular Dynamics')"
"Replica Exchange Self-Guided Langevin Dynamics","RXSGLD","Combines SGLD with replica exchange for enhanced sampling.","method|algorithm","yes","130282,130303,130307,130311,149033,149034,152125,152129,152132,152140,152168,152170,152193,152208,152216,152217,152222,152246,152255,152262,152266,152270","22","Lower-priority member of semantic cluster led by row 685 (Champion: 'Replica Exchange Self-Guided Langevin Dynamics')"
"RESP","RESP","Restrained Electrostatic Potential fitting method for atomic charges","method","yes","8689,8710,8722,49910,49940,50935,50936,69864,90410,90426,90430,90453,90454,90939,90967,91152,91220,91231,91250,91278,91386,92758,92835,92858,92860,92863,92890,92894,92906,93077,93081,93102,93103,93113,96091,96096,96149,96170,97319,97323,99134,99305,99410,100916,100926,100937,101025,101026,101041,101045,101073,101081,101187,101193,101295,101296,101405,101411,101638,101714,101718,102622,102626,102690,102694,102770,102788,102792,102876,102901,102905,102989,102990,103057,103078,103148,103150,103200,103202,103204,103217,103219,103224,103416,103422,103502,103505,103524,103648,103653,103686,103760,103772,103783,103794,103839,103895,103903,103909,103938","161","Lower-priority member of semantic cluster led by row 687 (Champion: 'RESP')"
"RESP","resp","Restrained Electrostatic Potential; a method for deriving atomic charges","model|method","yes","8689,8710,8722,49910,49940,50935,50936,69864,90410,90426,90430,90453,90454,90939,90967,91152,91220,91231,91250,91278,91386,92758,92835,92858,92860,92863,92890,92894,92906,93077,93081,93102,93103,93113,96091,96096,96149,96170,97319,97323,99134,99305,99410,100916,100926,100937,101025,101026,101041,101045,101073,101081,101187,101193,101295,101296,101405,101411,101638,101714,101718,102622,102626,102690,102694,102770,102788,102792,102876,102901,102905,102989,102990,103057,103078,103148,103150,103200,103202,103204,103217,103219,103224,103416,103422,103502,103505,103524,103648,103653,103686,103760,103772,103783,103794,103839,103895,103903,103909,103938","161","Lower-priority member of semantic cluster led by row 687 (Champion: 'RESP')"
"RESP (Restrained ElectroStatic Potential)","RESP","An algorithm for fitting atomic charges to quantum mechanical ESP.","algorithm|method","yes","8689,8710,8722,49910,49940,50935,50936,69864,90410,90426,90430,90453,90454,90939,90967,91152,91220,91231,91250,91278,91386,92758,92835,92858,92860,92863,92890,92894,92906,93077,93081,93102,93103,93113,96091,96096,96149,96170,97319,97323,99134,99305,99410,100916,100926,100937,101025,101026,101041,101045,101073,101081,101187,101193,101295,101296,101405,101411,101638,101714,101718,102622,102626,102690,102694,102770,102788,102792,102876,102901,102905,102989,102990,103057,103078,103148,103150,103200,103202,103204,103217,103219,103224,103416,103422,103502,103505,103524,103648,103653,103686,103760,103772,103783,103794,103839,103895,103903,103909,103938","161","Lower-priority member of semantic cluster led by row 687 (Champion: 'RESP')"
"RESP charge method","resp","Restrained Electrostatic Potential charge fitting method.","method|model","yes","8689,8710,8722,49910,49940,50935,50936,69864,90410,90426,90430,90453,90454,90939,90967,91152,91220,91231,91250,91278,91386,92758,92835,92858,92860,92863,92890,92894,92906,93077,93081,93102,93103,93113,96091,96096,96149,96170,97319,97323,99134,99305,99410,100916,100926,100937,101025,101026,101041,101045,101073,101081,101187,101193,101295,101296,101405,101411,101638,101714,101718,102622,102626,102690,102694,102770,102788,102792,102876,102901,102905,102989,102990,103057,103078,103148,103150,103200,103202,103204,103217,103219,103224,103416,103422,103502,103505,103524,103648,103653,103686,103760,103772,103783,103794,103839,103895,103903,103909,103938","161","Lower-priority member of semantic cluster led by row 687 (Champion: 'RESP')"
"resp (program)","resp","The program that performs RESP charge fitting.","software","yes","8689,8710,8722,49910,49940,50935,50936,69864,90410,90426,90430,90453,90454,90939,90967,91152,91220,91231,91250,91278,91386,92758,92835,92858,92860,92863,92890,92894,92906,93077,93081,93102,93103,93113,96091,96096,96149,96170,97319,97323,99134,99305,99410,100916,100926,100937,101025,101026,101041,101045,101073,101081,101187,101193,101295,101296,101405,101411,101638,101714,101718,102622,102626,102690,102694,102770,102788,102792,102876,102901,102905,102989,102990,103057,103078,103148,103150,103200,103202,103204,103217,103219,103224,103416,103422,103502,103505,103524,103648,103653,103686,103760,103772,103783,103794,103839,103895,103903,103909,103938","161","Lower-priority member of semantic cluster led by row 687 (Champion: 'RESP')"
"RESP-ind","RESP-ind","A RESP model that includes atomic induced dipoles.","model|method","yes","101026,101295,101411,101714,102690,102694,102770,103057,103078,103200,103202,103224,105302","13","Lower-priority member of semantic cluster led by row 692 (Champion: 'RESP-ind')"
"RESP-perm","RESP-perm","A RESP model that includes permanent atomic dipoles.","model|method","yes","101026,101081,101296,101411,101718,102788,102792,102876,102901,102905,102989,102990,103057,103078,103217,103219","20","Lower-priority member of semantic cluster led by row 694 (Champion: 'RESP-perm')"
"restrt","restrt","An output file containing final coordinates and velocities for restarting a simulation.","data format","yes","80640,106119,106251,107162,107300,107421,107431,107462,108056,113199,113207,113215,113223,113231,113235,127045,127950,128001,128781,150326,150380,150384,150388,150392,150855,150861,150867,150873,150879,150885,150891,150897,163395,164028,169921,183472,183479,208518","38","Lower-priority member of semantic cluster led by row 697 (Champion: 'Restart File')"
"restrt","restrt","An output file containing final coordinates and velocities for restarting a simulation.","data format","yes","80640,106119,106251,107162,107300,107421,107431,107462,108056,113199,113207,113215,113223,113231,113235,127045,127950,128001,128781,150326,150380,150384,150388,150392,150855,150861,150867,150873,150879,150885,150891,150897,163395,164028,169921,183472,183479,208518","38","Lower-priority member of semantic cluster led by row 697 (Champion: 'Restart File')"
"Maximum GB Radius","rgbmax","Maximum Generalized Born radius for an atom.","measure|model","yes","20040,20045,20064,20071,20112,20124,20138,20142,113977,119521,119526,120044,135177","13","Lower-priority member of semantic cluster led by row 701 (Champion: 'rgbmax')"
"rgbmax","rgbmax","Maximum distance for pairwise summation in Born radii calculation","identifier|measure","yes","20040,20045,20064,20071,20112,20124,20138,20142,113977,119521,119526,120044,135177","13","Lower-priority member of semantic cluster led by row 701 (Champion: 'rgbmax')"
"rhow_effect","rhow_effect","Effective water density for the non-polar dispersion term calculation","identifier|measure","yes","26419","1","Lower-priority member of semantic cluster led by row 703 (Champion: 'rhow_effect')"
"RISM","RISM","Reference Interaction Site Model of molecular solvation","model|method","yes","31098,31118,31123,31137,31154,31159,31183,31188,31227,31239,31264,31267,31449,31462,31530,31551,31726,31730,31735,31741,31747,31749,31784,31786,31813,31829,31880,31905,31921,31964,31986,31987,32001,32013,32017,32020,32028,32033,32039,32062,32071,32084,32098,32103,32137,32190,32232,32402,32468,32507,32603,32626,32656,32659,32665,32679,32769,32844,33151,33165,33172,33212,33316,33471,33514,33542,33602,34164,34237,34463,34466,34487,34495,34516,34525,34577,34585,34601,34611,34618,34644,34679,34724,34747,34779,34806,34810,34924,34932,34967,34971,35010,35014,35116,35140,35141,35142,35148,35190,35194","266","Lower-priority member of semantic cluster led by row 705 (Champion: '3D-RISM Solvation Energy')"
"rism3d.snglpnt","rism3d.snglpnt","A command-line tool for single-point 3D-RISM calculations","software","yes","31204,31249,32091,32888,33469,33493,34591,35051,35264,37046,40154,40533,40537,40543,40547,40570,40586,40591,191988,193040,193495,193505,213063,214062","24","Lower-priority member of semantic cluster led by row 707 (Champion: 'rism3d.snglpnt')"
"rism3d.snglpnt","rism3d.snglpnt","A program to perform single-point 3D-RISM calculations","software","yes","31204,31249,32091,32888,33469,33493,34591,35051,35264,37046,40154,40533,40537,40543,40547,40570,40586,40591,191988,193040,193495,193505,213063,214062","24","Lower-priority member of semantic cluster led by row 707 (Champion: 'rism3d.snglpnt')"
"RISMnRESPA","RISMnRESPA","Input variable for the RISM RESPA multiple time step size","identifier|measure","yes","36693,36700,36738,36911,36921,36934,36980,36997,39265,39272,39280,39324,39329,39336,39377,40363,108886","17","Lower-priority member of semantic cluster led by row 665 (Champion: 'r-RESPA')"
"RXSGLD","RXSGLD","Replica exchange using Self-Guided Langevin Dynamics.","method|algorithm","yes","130282,130303,130307,130311,149034,152125,152129,152132,152140,152168,152170,152193,152208,152216,152217,152222,152246,152255,152262,152266,152270","21","Lower-priority member of semantic cluster led by row 685 (Champion: 'Replica Exchange Self-Guided Langevin Dynamics')"
"Salt Concentration","istrng","The salt concentration in mM for PBSA calculations","measure","yes","20651,20857,20922,22606,22902,24485,24490,27002,27073,27337,27473,27549,28108,30231,30313,31036,49164,75065,75160,86854,87817,119147,119223,119546,120978,168736,173031,190891,191102,191107,192053,192301,205208,210786,210840,210843","36","Lower-priority member of semantic cluster led by row 713 (Champion: 'Salt Concentration')"
"saltcon","saltcon","Input parameter for the salt concentration in molarity","identifier|measure","yes","19995,20000,20030,21932,86754,86840,86849,87622,87803,87812,119536,119541,120073,120979,123196,124417,125715,130887,130952,131029,131093,131158,131223,135182,149558,149908,165809,168451,168470,168713,168734,172878,172901,173007,173029,190881,190886,192041,192085,192129,192177,192225,205209","43","Lower-priority member of semantic cluster led by row 713 (Champion: 'Salt Concentration')"
"saltcon","saltcon","Sets the concentration of 1-1 mobile counterions in solution","identifier|measure","yes","19995,20000,20030,21932,86754,86840,86849,87622,87803,87812,119536,119541,120073,120979,123196,124417,125715,130887,130952,131029,131093,131158,131223,135182,149558,149908,165809,168451,168470,168713,168734,172878,172901,173007,173029,190881,190886,192041,192085,192129,192177,192225,205209","43","Lower-priority member of semantic cluster led by row 713 (Champion: 'Salt Concentration')"
"saltcon","saltcon","Sets the concentration of 1-1 mobile counterions in solution","identifier|measure","yes","19995,20000,20030,21932,86754,86840,86849,87622,87803,87812,119536,119541,120073,120979,123196,124417,125715,130887,130952,131029,131093,131158,131223,135182,149558,149908,165809,168451,168470,168713,168734,172878,172901,173007,173029,190881,190886,192041,192085,192129,192177,192225,205209","43","Lower-priority member of semantic cluster led by row 713 (Champion: 'Salt Concentration')"
"saltcon","saltcon","The salt concentration in Molarity","measure|unit","yes","19995,20000,20030,21932,86754,86840,86849,87622,87803,87812,119536,119541,120073,120979,123196,124417,125715,130887,130952,131029,131093,131158,131223,135182,149558,149908,165809,168451,168470,168713,168734,172878,172901,173007,173029,190881,190886,192041,192085,192129,192177,192225,205209","43","Lower-priority member of semantic cluster led by row 713 (Champion: 'Salt Concentration')"
"Sander","sander","A molecular dynamics simulation program in the Amber suite.","software","yes","1772,2053,2067,2079,2097,2142,2659,3267,3282,3339,3344,16156,16380,16529,16532,19507,19811,19898,19899,21698,21837,22505,22544,23737,23911,23922,23927,23959,24023,24037,29752,29822,29832,29847,29949,29956,31199,31210,31214,31219,31239,33296,33450,33453,33465,33488,34587,35269,36561,36584,36591,36599,36652,37019,37029,37034,37042,37059,37065,38254,39256,40145,40581,40604,44567,44928,45751,46608,47470,47476,47478,47482,47486,47490,47492,47501,47505,47795,47994,48000,48009,48036,48069,48073,48085,48233,48317,48339,48521,48925,48946,51080,51164,51351,51369,51603,52474,52498,52503,52523","624","Lower-priority member of semantic cluster led by row 719 (Champion: 'sander')"
"sander","sander","The primary molecular dynamics simulation engine in Amber","software","yes","1772,2053,2067,2079,2097,2142,2659,3267,3282,3339,3344,16156,16380,16529,16532,19507,19811,19898,19899,21698,21837,22505,22544,23737,23911,23922,23927,23959,24023,24037,29752,29822,29832,29847,29949,29956,31199,31210,31214,31219,31239,33296,33450,33453,33465,33488,34587,35269,36561,36584,36591,36599,36652,37019,37029,37034,37042,37059,37065,38254,39256,40145,40581,40604,44567,44928,45751,46608,47470,47476,47478,47482,47486,47490,47492,47501,47505,47795,47994,48000,48009,48036,48069,48073,48085,48233,48317,48339,48521,48925,48946,51080,51164,51351,51369,51603,52474,52498,52503,52523","624","Lower-priority member of semantic cluster led by row 719 (Champion: 'sander')"
"sander","sander","An Amber module for energy minimization and molecular dynamics.","software","yes","1772,2053,2067,2079,2097,2142,2659,3267,3282,3339,3344,16156,16380,16529,16532,19507,19811,19898,19899,21698,21837,22505,22544,23737,23911,23922,23927,23959,24023,24037,29752,29822,29832,29847,29949,29956,31199,31210,31214,31219,31239,33296,33450,33453,33465,33488,34587,35269,36561,36584,36591,36599,36652,37019,37029,37034,37042,37059,37065,38254,39256,40145,40581,40604,44567,44928,45751,46608,47470,47476,47478,47482,47486,47490,47492,47501,47505,47795,47994,48000,48009,48036,48069,48073,48085,48233,48317,48339,48521,48925,48946,51080,51164,51351,51369,51603,52474,52498,52503,52523","624","Lower-priority member of semantic cluster led by row 719 (Champion: 'sander')"
"sander","sander","An Amber module for energy minimization and molecular dynamics.","software","yes","1772,2053,2067,2079,2097,2142,2659,3267,3282,3339,3344,16156,16380,16529,16532,19507,19811,19898,19899,21698,21837,22505,22544,23737,23911,23922,23927,23959,24023,24037,29752,29822,29832,29847,29949,29956,31199,31210,31214,31219,31239,33296,33450,33453,33465,33488,34587,35269,36561,36584,36591,36599,36652,37019,37029,37034,37042,37059,37065,38254,39256,40145,40581,40604,44567,44928,45751,46608,47470,47476,47478,47482,47486,47490,47492,47501,47505,47795,47994,48000,48009,48036,48069,48073,48085,48233,48317,48339,48521,48925,48946,51080,51164,51351,51369,51603,52474,52498,52503,52523","624","Lower-priority member of semantic cluster led by row 719 (Champion: 'sander')"
"sander API","sander API","An application programmer interface for the sander program.","software|library","yes","119304,119482","2","Lower-priority member of semantic cluster led by row 723 (Champion: 'Sander API')"
"saopt","saopt","Option to enable the calculation of the molecular surface area","identifier","yes","24738,24743,27002,27077","4","Lower-priority member of semantic cluster led by row 725 (Champion: 'saopt')"
"SASA","SASA","Solvent Accessible Surface Area, a measure of molecular exposure","measure","yes","20633,23171,23196,23512,23514,23525,23547,23674,24330,24331,26297,26322,26391,26496,26497,26498,26513,26522,26542,26572,26620,26622,26623,27013,119037,119671,119673,119675,148573,199919,200413,200830,201249,201641,202054,202907,203312,203727,204162,206220,206229,206353","45","Lower-priority member of semantic cluster led by row 729 (Champion: 'Solvent Accessible Surface Area')"
"SASA","SASA","Solvent Accessible Surface Area, a measure of molecular exposure","measure","yes","20633,23171,23196,23512,23514,23525,23547,23674,24330,24331,26297,26322,26391,26496,26497,26498,26513,26522,26542,26572,26620,26622,26623,27013,119037,119671,119673,119675,148573,199919,200413,200830,201249,201641,202054,202907,203312,203727,204162,206220,206229,206353","45","Lower-priority member of semantic cluster led by row 729 (Champion: 'Solvent Accessible Surface Area')"
"sasopt","sasopt","Option to select the type of molecular surface to be used","identifier","yes","24203,24223,24242,24645,24650,26704,27079,27133,27179,27309,27342,27918,28113,29008,30290,30321,31040","17","Lower-priority member of semantic cluster led by row 730 (Champion: 'sasopt')"
"saveamberparm","saveamberparm","LEaP command to save Amber topology and coordinate files.","software|process","yes","15099,16463,17776,74118,74207,75592,77579,77583,77588,77629,77920,78581,79936,80339,80640,80900,81235,92047,190009,190013,190017,190029","22","Lower-priority member of semantic cluster led by row 732 (Champion: 'saveAmberParm')"
"savePdb","savePdb","LEaP command to save a unit in PDB format","software","yes","77741,77745,77750,77772,77977,79940,80343,80895,81230","9","Lower-priority member of semantic cluster led by row 735 (Champion: 'savepdb')"
"scale","scale","The resolution of the Poisson-Boltzmann grid","measure","yes","5881,5930,15486,18021,18920,19112,20751,21292,23054,25797,25808,27425,27556,27633,27848,27849,27850,28196,28404,28412,28420,28428,28446,28504,28557,28569,28574,28624,28961,28963,29066,29074,29082,29200,29205,29207,29225,29241,29249,29257,29388,29396,29404,29434,30801,30912,48714,48972,58640,59441,66376,66423,73898,73946,73962,73965,73966,88634,88639,88650,88663,88698,88733,94795,94800,98457,99141,99143,99149,99150,99152,100268,103478,109635,109647,113638,116459,116507,117899,119135,119211,126271,128121,130197,130433,131281,136912,139535,140074,140092,160153,167315,167765,168751,169021,182099,184453,184924,185205,185444","117","Lower-priority member of semantic cluster led by row 736 (Champion: 'scale')"
"scalec","scalec","Option to scale dielectric boundary surface charges","identifier","yes","25773,25778","2","Lower-priority member of semantic cluster led by row 738 (Champion: 'scalec')"
"SCF Convergence Criterion","scfconv","Energy difference threshold for SCF convergence.","measure|algorithm","yes","46423,46424,46435,46444,46449,50514,50519,54218,54223,54229,54634,92188,92200,92207,92228,120778,120783,120818","18","Lower-priority member of semantic cluster led by row 740 (Champion: 'SCF Convergence Criteria')"
"Softcore Mask for V0 (PMEMD)","scmask1","Specifies the unique softcore atoms for state V0 in pmemd.","identifier|data format","yes","89082,89108,89114,132284,132294,132304,132575,133507,133566,133595,133648,133701,142963,143359,143364,143374,147756,147838,147906,148045,148094,148116,148193","23","Lower-priority member of semantic cluster led by row 742 (Champion: 'GaMD Soft Core Mask')"
"Seminario method","Seminario method","A method to derive force constants from a Cartesian Hessian matrix.","method|algorithm","yes","98725,98974,99011,99013,99025,99027,99327,99355,99372,99376,99384,99394,99548,99553,99559,100303,100315,100324","18","Lower-priority member of semantic cluster led by row 745 (Champion: 'Seminario method')"
"sequence","sequence","LEaP command to build a linear chain of residues.","software|process","yes","6660,7469,7609,15089,23846,23867,33023,46831,68705,72546,73131,73134,73281,73287,73303,74092,74256,74308,75682,75685,75693,75697,75701,75773,75798,76044,76352,76353,76354,76355,76356,76372,76446,76480,76586,76822,76826,77282,77297,77298,77345,77368,77458,77531,77535,77803,77807,77812,77823,77841,77842,77848,77852,78397,78403,79642,79646,79654,79658,79662,79666,79831,79858,79862,79870,79879,79885,80224,80243,80247,80265,80296,80446,80448,80485,80495,80505,80515,80525,80835,80850,81136,84054,86333,90984,92566,117457,122508,122513,128971,134124,134204,138442,151631,151634,168500,168962,178225,184717,184791","107","Lower-priority member of semantic cluster led by row 746 (Champion: 'sequence')"
"SIRAH force field","--sirah","A coarse-grained force field for biomolecular simulations","model","yes","17844,18122,70983,70997","4","Lower-priority member of semantic cluster led by row 749 (Champion: 'SIRAH force field')"
"slsqp","slsqp","Sequential Least Squares Programming optimization algorithm.","algorithm|method","yes","100058","1","Lower-priority member of semantic cluster led by row 750 (Champion: 'slsqp')"
"SLTCAP method","SLTCAP method","Method to calculate the number of ions to add for a target concentration","method","yes","20816","1","Lower-priority member of semantic cluster led by row 752 (Champion: 'SLTCAP method')"
"SMARTS","SMARTS","A language for specifying molecular substructures.","identifier|model","yes","103596,104141,104145,104152,104303,104306,104327,104333,104339,104379,104385,104392,104421,104427,104441,104637,104688","17","Lower-priority member of semantic cluster led by row 755 (Champion: 'SMARTS')"
"smoothopt","smoothopt","Option for setting dielectric values at the solute-solvent boundary","identifier","yes","23639,23651,24183,24423,24428,27477,27597,30239,30321","9","Lower-priority member of semantic cluster led by row 756 (Champion: 'smoothopt')"
"Solute Dielectric Constant","epsilon_solute","The dielectric constant assigned to the solute interior","measure|model","yes","27127,205447,210216,210268","4","Lower-priority member of semantic cluster led by row 759 (Champion: 'Solute Dielectric Constant')"
"solvateBox","solvateBox","A LEaP command to solvate a molecule in a rectangular box","software|process","yes","15034,15094,18313,75781,75806,78494,78506,78510,78515,78545,78577,78582,78829,81225,81375,99811","16","Lower-priority member of semantic cluster led by row 761 (Champion: 'solvateBox')"
"solvateBox","solvateBox","LEaP command to solvate a molecule in a rectangular box.","software|process","yes","15034,15094,18313,75781,75806,78494,78506,78510,78515,78545,78577,78582,78829,81225,81375,99811","16","Lower-priority member of semantic cluster led by row 761 (Champion: 'solvateBox')"
"solvateOct","solvateOct","A LEaP command to solvate a molecule in a truncated octahedron","software|process","yes","15038,18187,18313,78506,78524,78529,78549,78579,78585,78623,81375,81505,190025","13","Lower-priority member of semantic cluster led by row 764 (Champion: 'solvateOct')"
"solvbox","solvbox","The length of the RISM solvation box in each dimension","measure","yes","33728,33733,33936,33950,33964,34152,34157,38350,38446,38453,38606,38611,38718,38723,41689,41815,41869,41885,41892,42059,42064,42183,42188,191664,191665,191773,191794,191846,191851,191864,191884,214074","32","Lower-priority member of semantic cluster led by row 765 (Champion: 'solvbox')"
"solvopt","solvopt","Option to select the iterative solver for the PB equation","identifier","yes","24185,25240,25245,25593,27145,27175,27351,28122,30118,30128,30138,30195,30243,31048,192313","15","Lower-priority member of semantic cluster led by row 767 (Champion: 'solvopt')"
"space","space","The grid spacing for the finite-difference solver","identifier|measure","yes","502,2059,2642,3613,5325,9795,10991,11036,11236,11655,11667,11806,11818,11906,11918,11959,11971,12059,12071,12112,12124,12165,12177,12218,12230,15167,18482,18888,19101,19468,19477,19530,19636,19640,19644,19654,19709,19719,19772,21966,21975,22628,22634,22902,23461,24017,24030,24083,24092,24129,24138,24156,24176,24199,24219,24238,24279,24287,24307,24397,24445,24455,24474,24548,24558,24667,24683,24693,24713,24771,24780,24827,24835,24929,24937,24953,24973,25119,25127,25222,25231,25261,25270,25279,25288,25297,25315,25392,25397,25509,25549,25559,25570,25588,25624,25653,25668,25678,25715,25724","1776","Lower-priority member of semantic cluster led by row 769 (Champion: 'space')"
"space group","space group","The set of symmetry operations that describes a crystal structure.","model|identifier","yes","105446,105465,183764,183765,183904","5","Lower-priority member of semantic cluster led by row 771 (Champion: 'space group')"
"spc/e","spc/e","A three-site extended simple point charge water model","model|chemical entity","yes","4380,5352,5364,5370,5378,14672,14898,14932,15385,15664,15684,15695,15710,15726,15742,15762,15782,15917,16102,18009,22770,31525,31526,31530,32141,34628,35232,36477,37377,110473","30","Lower-priority member of semantic cluster led by row 773 (Champion: 'SPC/E')"
"Spin Multiplicity","spin","Spin multiplicity of the QM region.","measure|state","yes","7574,46217,46222,46232,50448,50453,52702,52709,52766,52890,54042,73916,73918,98355,99119,99120,99124,99167,99168,99172,121270,121275,121280,161052,161125,161287,177871","28","Lower-priority member of semantic cluster led by row 775 (Champion: 'Spin Multiplicity')"
"sprob","sprob","Solvent probe radius for SASA used in the dispersion term","identifier|measure","yes","26287,26292,26322,26350","4","Lower-priority member of semantic cluster led by row 777 (Champion: 'sprob')"
"sqm","sqm","AmberTools' semi-empirical quantum chemistry program","software","yes","44548,44552,44562,44952,44962,45750,45801,45807,46600,46607,47075,47190,48011,48021,51012,51032,51076,90604,90770,90838,91093,92173,92196,99189,99203,120638,121665,121689,121990,122014","31","Lower-priority member of semantic cluster led by row 780 (Champion: 'sqm')"
"Steered Molecular Dynamics","Steered MD","A method applying external forces to drive conformational changes","method|process","yes","157926,157969,161354,161391,165522","5","Lower-priority member of semantic cluster led by row 781 (Champion: 'Steered Molecular Dynamics')"
"surften","surften","Surface tension parameter for the nonpolar solvation energy calculation","identifier|measure","yes","20295,20300,20312,21731,26535,190912,190917,203942","8","Lower-priority member of semantic cluster led by row 783 (Champion: 'surften')"
"surften","surften","The surface tension value for non-polar solvation energy calculation","measure","yes","20295,20300,20312,21731,26535,190912,190917,203942","8","Lower-priority member of semantic cluster led by row 783 (Champion: 'surften')"
"sviol","sviol","A tool to prepare tables and statistics of restraint violations","software","yes","176000,181145,181155","3","Lower-priority member of semantic cluster led by row 787 (Champion: 'sviol')"
"Swarms-of-Trajectories String Method","STSM","A method for exploring the Minimum Free Energy Path (MFEP).","method|algorithm","yes","158385,159117,164059,164096,164138,164140,164160,164335,164566,164591,164693,164727,164845,164903,164942,164981,165132,165281","21","Lower-priority member of semantic cluster led by row 789 (Champion: 'Swarms-of-Trajectories String Method')"
"temp0","temp0","The target temperature for the simulation in Kelvin.","measure|unit","yes","21746,29914,40331,49257,66648,98518,106436,106491,108781,109020,109042,109047,109054,109095,109102,109476,111924,112065,112205,112313,112519,112709,117527,117870,118543,118627,127352,130907,130972,131049,131113,131178,131243,131840,133416,135202,135232,148153,149335,149546,149568,149892,150070,150220,150421,150481,150615,150730,150764,150773,151829,152205,152250,152334,157515,163115,165829,168086,168455,168478,168713,172882,172909,173007,181622,181632,181642","70","Lower-priority member of semantic cluster led by row 790 (Champion: 'Target Temperature')"
"Temperature REMD","T-REMD","REMD where replicas are simulated at different temperatures.","method|algorithm","yes","67390,148919,149031,149032,149454,149459,149512,149723,149727,149786,149790,149845,149867,149919,150072,150075,150103,150191,150194,150203,150212,150396,150418,150494,150495,150527,150579,150901,151633,151656,151666,151667,151702,151764,151789,151792,151982,152079,152193,152216,152217,152255,152300,152327,152382,152411,152788,152866,152872,157162,157207,157688,157854,157894,157904","56","Lower-priority member of semantic cluster led by row 792 (Champion: 'Temperature REMD')"
"TER card","TER","A record in a PDB file separating molecular chains/residues.","data format|identifier","yes","14350,14451,14533,17729,17738,67820,67826,67833,68154,68183,68188,68190,68686,68691,73135,77294,77296,81041,81047,81129,126808,147629,147811,147866,188705,188706,188708,188714,197649","29","Lower-priority member of semantic cluster led by row 794 (Champion: 'TER record')"
"TER card","TER card","A record in a PDB file marking the end of a molecule","data format|identifier","yes","14350,14451,14533,17729,73135,81041,147629,147811,147866,188708,197649","11","Lower-priority member of semantic cluster led by row 794 (Champion: 'TER record')"
"TeraChem","TeraChem","A GPU-accelerated quantum chemistry software package for QM/MM","software","yes","48102,48104,48106,48110,48203,48207,51276,51324,51327,51332,51387,51464,51468,51490,51504,52482,52484,52487,52494,52830,52833,56933,56936,56944,56952,56963,56964,56966,57003,57019,57027,57071,57077,57082,57088,57096,57102,57103,57112,57117,57166,57232,57250,57252,57292,57327,57349,57350,57497,57519,57541,57881,57882,58094,58098,58147,58159","58","Lower-priority member of semantic cluster led by row 798 (Champion: 'TeraChem')"
"Thermodynamic Integration","TI","A method for calculating free energy differences.","method|process","yes","2062,2190,30442,32309,32588,44902,61358,89088,89138,91524,99671,99673,99685,99694,99695,99702,99709,99714,99717,99785,99787,106065,107844,107899,107913,107924,110475,114776,115104,118830,126201,127061,127066,140147,140153,140192,140263,140323,140327,140459,140509,140522,140527,140531,140544,140553,140575,140586,140590,140591,140600,140620,140621,140628,140882,140901,141051,141213,142932,143011,143069,143150,143317,143496,143560,143573,143652,143860,147273,147289,147391,147425,147429,147442,147445,147579,147591,147740,147804,147822,147934,147955,147967,148004,148014,148125,148133,148218,151627,166020,166269,167632,167682,167686,167736,168940,168986,169006,169034,169178","182","Lower-priority member of semantic cluster led by row 800 (Champion: 'Thermodynamic Integration')"
"Thermodynamic Integration","Thermodynamic Integration","A method to compute free energy differences between states.","method|process","yes","2062,32309,32588,61358,89088,89138,91524,99685,106065,107844,110475,114776,118830,126201,127061,140147,140192,140263,140323,140327,140459,140586,140628,140882,142932,148218,151627,166020,167632,167682,167736,168986,169006,174690,175764,175816,195732,195746,207700,207713,209544,211201","42","Lower-priority member of semantic cluster led by row 800 (Champion: 'Thermodynamic Integration')"
"Thermodynamic Integration","Thermodynamic Integration","A method to compute free energy differences by integrating along a path.","method|process","yes","2062,32309,32588,61358,89088,89138,91524,99685,106065,107844,110475,114776,118830,126201,127061,140147,140192,140263,140323,140327,140459,140586,140628,140882,142932,148218,151627,166020,167632,167682,167736,168986,169006,174690,175764,175816,195732,195746,207700,207713,209544,211201","42","Lower-priority member of semantic cluster led by row 800 (Champion: 'Thermodynamic Integration')"
"Thermodynamic Integration","Thermodynamic integration","A method to compute free energy differences between states","method","yes","2062,32309,32588,61358,89088,89138,91524,99685,106065,107844,110475,114776,118830,126201,127061,140147,140192,140263,140323,140327,140459,140586,140628,140882,142932,148218,151627,166020,167632,167682,167736,168986,169006,174690,175764,175816,195732,195746,207700,207713,209544,211201","42","Lower-priority member of semantic cluster led by row 800 (Champion: 'Thermodynamic Integration')"
